cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
16406,1,1,ASDA,fresh_food,own_brand,,standard,,,,12 Large Eggs,,
16407,1,1,ASDA,fresh_food,branded,Staveley,,,,,Very Large Eggs,,
16408,1,1,ASDA,fresh_food,own_brand,,standard,,,,12 Medium Eggs,,
16409,1,1,Sains,free-from,branded,Lurpak,,400.0,g,,Softest Spreadable Blend of Slightly Salted Butter and Rapeseed Oil,,
16410,1,1,ASDA,fresh_food,branded,Staveley,,,,,12 Medium Eggs,,
16411,1,1,Morrisons,free-from,branded,Arla,,250.0,g,,LactoFREE Slightly Salted…,,
16412,1,1,ASDA,fresh_food,own_brand,,standard,,,,ASDA Eggs Mixed Weight,,
16413,1,1,ASDA,fresh_food,own_brand,,standard,500.0,g,,Spreadable Slightly Salted Butter,,
16414,1,1,Morrisons,free-from,own_brand,,standard,1000.0,ml,,Skimmed Milk,,
16415,1,1,ASDA,fresh_food,branded,Lurpak,,600.0,g,,Slightly Salted Spreadable,,
16416,1,1,ASDA,fresh_food,unbranded,,,113.3,g,,Rodda's Fresh Cornish Clotted Cream,,
16417,1,1,Morrisons,fresh_food,branded,Anchor,,399.7,g,,Spreadable Blend of…,,
16418,1,1,ASDA,fresh_food,own_brand,,standard,250.0,ml,,Squirty Cream,,
16419,1,1,ASDA,fresh_food,unbranded,,,1000.0,g,,Lowicz Kefir,,
16420,1,1,ASDA,fresh_food,own_brand,,standard,250.0,ml,,Light Squirty Cream,,
16421,1,1,ASDA,fresh_food,branded,Flora,,200.0,g,,Plant Butter Salted Block,,
16422,1,1,ASDA,fresh_food,branded,Flora,,200.0,g,,Plant Butter Unsalted Block,,
16423,1,1,ASDA,fresh_food,unbranded,,,750.0,ml,,Chocomel,,
16424,1,1,ASDA,fresh_food,unbranded,,,400.0,ml,,Yazoo Limited Edition Choc Mint,,
16425,1,1,ASDA,fresh_food,branded,Oatly,,1000.0,ml,,The Original Semi Oat Drink,,
16426,1,1,ASDA,drinks,branded,Oatly,,1000.0,ml,,Oat Drink Skinny,,
16427,1,1,ASDA,fresh_food,branded,Oatly,,1000.0,ml,,Oat Drink Chocolate Deluxe,,
16428,1,1,Sains,drinks,branded,Oatly,,1000.0,ml,,Whole Long Life Oat Drink,,
16429,1,1,Sains,food_cupboard,branded,Oatly,,1000.0,ml,,Semi Oat Drink Long Life,,
16430,1,1,Sains,drinks,branded,Oatly,,1000.0,ml,,No Sugars Long Life Oat Drink,,
16431,1,1,ASDA,fresh_food,own_brand,,standard,500.0,ml,,Kefir Tropical,,
16432,1,1,ASDA,fresh_food,own_brand,,standard,333.3,ml,,Caffé Latte Extra Shot,,
16433,1,1,Sains,food_cupboard,unbranded,,,750.0,ml,,Califia Farms Unsweetened Almond Drink,,
16434,1,1,ASDA,fresh_food,own_brand,,standard,250.0,ml,,Chocolate Flavoured Squirty Cream,,
16435,1,1,ASDA,fresh_food,own_brand,,standard,300.0,ml,,Half Fat Fresh Soured Cream,,
16436,1,1,ASDA,fresh_food,unbranded,,,750.0,ml,,Shaken Udder White Choc Milkshake,,
