cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score,AUDIT_same_core_product,AUDIT_weight_ok,AUDIT_tier_ok,AUDIT_notes
9680,24505,Morrisons,I Heart Merlot,drinks,I Heart,False,,750.0,ml,,Merlot,i heart merlot,7.0,9.31,branded,2,2,branded,1.0,,,,
9680,60629,Tesco,I Heart Merlot 75Cl,drinks,I Heart,False,,750.0,ml,,Merlot,i heart merlot,5.5,7.32,branded,2,2,branded,1.0,,,,
9745,25354,Morrisons,The London Essence Co. Indian Tonic Water Cans,drinks,The London Essence Co,False,,900.0,ml,,Indian Tonic Water Cans,the london essence co indian tonic water cans,3.75,4.2,branded,2,2,branded,0.776713282078473,,,,
9745,40084,Sains,The London Essence Co. Original Indian Tonic Water Multipack Can 6x150ml,drinks,The London Essence Co,False,,900.0,ml,6.0,Original Indian Tonic Water Multipack Can,the london essence co original indian tonic water multipack can,4.0,4.4,branded,2,2,branded,0.776713282078473,,,,
9789,25854,Morrisons,64 Edge South African Sauvignon Blanc,drinks,,False,,2250.0,ml,,64 Edge South African Sauvignon Blanc,64 edge south african sauvignon blanc,18.0,7.98,unbranded,2,2,unbranded,0.789169536930731,,,,
9789,60668,Tesco,Shallow Bay South African Sauvignon Blanc 2.25L,drinks,,False,,2250.0,ml,,Shallow Bay South African Sauvignon Blanc,shallow bay south african sauvignon blanc,16.75,7.42,unbranded,2,2,unbranded,0.789169536930731,,,,
9806,26070,Morrisons,Morrisons The Best Oat & Barley Bread,bakery,,True,premium,800.0,g,,Oat and Barley Bread,oat and barley bread,1.45,1.8,own_brand,2,2,own_brand,0.8390648567119154,,,,
9806,49709,Tesco,Tesco Finest Oat & Barley Loaf 800G,bakery,,True,premium,800.0,g,,Oat and Barley Loaf,oat and barley loaf,1.3,1.6,own_brand,2,2,own_brand,0.8390648567119154,,,,
9851,26928,Morrisons,Morrisons Apple Tart,frozen,,True,standard,450.0,g,,Apple Tart,apple tart,2.55,5.7,own_brand,2,2,own_brand,1.0,,,,
9851,52026,Tesco,Tesco Apple Tart 450g,frozen,,True,standard,450.0,g,,Apple Tart,apple tart,2.6,5.8,own_brand,2,2,own_brand,1.0,,,,
