ensemble_cluster_id,product_idx,supermarket,score,pass
331,29224,Morrisons,0.9542,1
9731,339,ASDA,0.9542,1
13164,25053,Morrisons,0.9542,1
10896,16202,ASDA,0.954,1
3566,62030,Tesco,0.9539,1
9508,7279,ASDA,0.9535,1
977,36636,Sains,0.9535,1
6896,56700,Tesco,0.9533,1
5,28039,Morrisons,0.9533,1
7347,27544,Morrisons,0.9532,1
2606,38837,Sains,0.9531,1
4066,45064,Sains,0.9531,1
8491,27160,Morrisons,0.9531,1
9436,15440,ASDA,0.9526,1
13518,13,ASDA,0.9526,1
12345,17576,Morrisons,0.9525,1
10955,38492,Sains,0.9524,1
5568,57519,Tesco,0.9523,1
12442,2562,ASDA,0.9521,1
8285,40614,Sains,0.9519,1
7638,18209,Morrisons,0.9518,1
5008,54329,Tesco,0.9517,1
5772,28445,Morrisons,0.9516,1
4483,51611,Tesco,0.9515,1
5831,26029,Morrisons,0.9514,1
7313,54717,Tesco,0.9513,1
12166,15203,ASDA,0.9513,1
11043,40137,Sains,0.9512,1
669,44150,Sains,0.9512,1
13689,16466,ASDA,0.9509,1
11189,40811,Sains,0.9509,1
12921,12485,ASDA,0.9508,1
417,29038,Morrisons,0.9507,1
7671,36082,Sains,0.9503,1
9466,1394,ASDA,0.9499,1
4787,63449,Tesco,0.9499,1
3084,41930,Sains,0.9498,1
14148,14550,ASDA,0.9497,1
10271,37776,Sains,0.9496,1
8994,19908,Morrisons,0.9495,1
11929,47572,Sains,0.9495,1
13980,14297,ASDA,0.9495,1
4043,44933,Sains,0.9492,1
6822,37195,Sains,0.9491,1
103,55682,Tesco,0.949,1
2425,50188,Tesco,0.9489,1
2675,39183,Sains,0.9488,1
1359,55829,Tesco,0.9487,1
14052,12169,ASDA,0.9486,1
13944,19571,Morrisons,0.9485,1
13988,7089,ASDA,0.9485,1
7820,31885,Sains,0.9484,1
13001,9686,ASDA,0.9484,1
9358,54031,Tesco,0.9482,1
4988,55875,Tesco,0.9478,1
12105,15002,ASDA,0.9477,1
7967,53202,Tesco,0.9476,1
3616,47550,Sains,0.9472,1
4246,20427,Morrisons,0.9471,1
9514,15760,ASDA,0.947,1
14112,28275,Morrisons,0.9466,1
4573,23948,Morrisons,0.9465,1
13226,1751,ASDA,0.9465,1
14161,14487,ASDA,0.9464,1
10989,15416,ASDA,0.9464,1
1173,37447,Sains,0.9463,1
4879,35056,Sains,0.9463,1
9726,1256,ASDA,0.9461,1
55,64820,Tesco,0.946,1
13752,27018,Morrisons,0.946,1
217,36284,Sains,0.9459,1
13432,4819,ASDA,0.9459,1
9068,48536,Sains,0.9458,1
3573,59249,Tesco,0.9458,1
14061,1565,ASDA,0.9457,1
2549,25083,Morrisons,0.9457,1
10816,13369,ASDA,0.9456,1
5045,30052,Morrisons,0.9452,1
4171,37884,Sains,0.9452,1
11375,5059,ASDA,0.945,1
13361,4302,ASDA,0.9448,1
9654,7266,ASDA,0.9448,1
7930,19997,Morrisons,0.9446,1
2305,40054,Sains,0.9445,1
13101,3742,ASDA,0.9445,1
12836,3327,ASDA,0.9443,1
4344,60150,Tesco,0.9441,1
4897,32900,Sains,0.944,1
13817,6416,ASDA,0.9438,1
6569,38038,Sains,0.9433,1
4002,56759,Tesco,0.9433,1
