supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name,product_idx,known_brand_clean,product_type,has_unit,has_pack,cat_norm,cluster_size,cluster_id,match_type,avg_pairwise_score
Sains,1.1,11.11,kg,Batchelors Pasta 'n' Sauce Chefs Special Caramelised Onion & Smoky Bacon Flavour Pasta Sachet 99g,20240413,food_cupboard,False,False,Batchelors Pasta 'n' Sauce Chefs Special Caramelised Onion & Smoky Bacon Flavour Pasta Sachet 99g,,,,Batchelors,,,99.0,g,,False,,,,Pasta 'n' Sauce Chefs Special Caramelised Onion and Smoky Bacon Flavour Pasta Sachet,batchelors pasta n sauce chefs special caramelised onion and smoky bacon flavor pasta sachet,37430,Batchelors,branded,True,False,food_cupboard,3,1997,branded,0.0
Tesco,0.95,9.59,kg,Batchelors Pasta & Sauce Caramelised Onion & Smoky Bacon 99G,20240412,food_cupboard,False,False,Batchelors Pasta & Sauce Caramelised Onion & Smoky Bacon 99G,,,,Batchelors,,,99.0,g,,False,,,,Pasta and Sauce Caramelised Onion and Smoky Bacon,batchelors pasta and sauce caramelised onion and smoky bacon,62704,Batchelors,branded,True,False,food_cupboard,3,1997,branded,0.0
ASDA,1.25,5.0,l,The Distiller Passion Fruit Martini 250ml,20240413,fresh_food,False,False,The Distiller Passion Fruit Martini 250ml,,,,,,,250.0,ml,,False,,,,The Distiller Passion Fruit Martini,the distiller passion fruit martini,4262,,unbranded,True,False,fresh_food,2,2176,unbranded,0.0
Sains,2.6,10.4,l,Tribeology Premium Cocktails Passion Fruit Martini 250ml,20240413,food_cupboard,False,False,Tribeology Premium Cocktails Passion Fruit Martini 250ml,,,,,,,250.0,ml,,False,,,,Tribeology Premium Cocktails Passion Fruit Martini,tribeology premium cocktails passion fruit martini,38069,,unbranded,True,False,food_cupboard,2,2176,unbranded,0.0
ASDA,22.0,22.0,l,Gordon's Premium Pink Gin,20240413,drinks,False,False,Gordon's Premium Pink Gin,,,,Gordon's,,,1000.0,ml,,True,,,,Premium Pink Gin,gordons premium pink gin,4448,Gordon's,branded,True,False,drinks,4,2298,branded,0.0
Morrisons,2.25,9.0,l,Gordon's Pink Gin & Tonic (Abv 5%),20240413,drinks,False,False,Gordon's Pink Gin & Tonic (Abv 5%),,,,Gordon's,,,250.0,ml,,True,,,,Pink Gin and Tonic (Abv 5%),gordons pink gin and tonic abv 5,24393,Gordon's,branded,True,False,drinks,4,2298,branded,0.0
Sains,1.8,7.2,l,Gordon's Gin & Tonic 250ml,20240413,drinks,False,False,Gordon's Gin & Tonic 250ml,,,,Gordon's,,,250.0,ml,,False,,,,Gin and Tonic,gordons gin and tonic,39101,Gordon's,branded,True,False,drinks,4,2298,branded,0.0
Tesco,2.15,8.6,l,Gordon's Gin & Tonic 250Ml Can,20240406,drinks,False,False,Gordon's Gin & Tonic 250Ml Can,,,,Gordon's,,,250.0,ml,,False,,,{'packaging': ['can']},Gin and Tonic Can,gordons gin and tonic can,63491,Gordon's,branded,True,False,drinks,4,2298,branded,0.0
ASDA,9.0,119.97,l,Apothic Merlot 750ml,20240413,drinks,False,False,Apothic Merlot 750ml,,,,Apothic,,,750.0,ml,,False,,,,Merlot,apothic merlot,4722,Apothic,branded,True,False,drinks,2,2468,branded,0.0
Tesco,10.5,13.96,l,Apothic Merlot 750Ml,20240413,drinks,False,False,Apothic Merlot 750Ml,,,,Apothic,,,750.0,ml,,False,,,,Merlot,apothic merlot,56234,Apothic,branded,True,False,drinks,2,2468,branded,0.0
ASDA,7.25,96.64,l,Voga Pinot Grigio 750ml,20240413,drinks,False,False,Voga Pinot Grigio 750ml,,,,,,,750.0,ml,,False,,,,Voga Pinot Grigio,voga pinot grigio,4877,,unbranded,True,False,drinks,4,2565,unbranded,0.0
Morrisons,5.5,7.32,l,Terramare Pinot Grigio,20240413,drinks,False,False,Terramare Pinot Grigio,,,,,,,750.0,ml,,True,,,,Terramare Pinot Grigio,terramare pinot grigio,25165,,unbranded,True,False,drinks,4,2565,unbranded,0.0
Sains,6.0,7.98,l,PinotPinot Pinot Grigio 75cl,20240409,drinks,False,False,PinotPinot Pinot Grigio 75cl,,,,,,,750.0,ml,,False,,,,PinotPinot Pinot Grigio,pinotpinot pinot grigio,46984,,unbranded,True,False,drinks,4,2565,unbranded,0.0
Tesco,7.5,9.98,l,Wairau Cove Pinot Grigio 75Cl,20240413,drinks,False,False,Wairau Cove Pinot Grigio 75Cl,,,,,,,750.0,ml,,False,,,,Wairau Cove Pinot Grigio,wairau cove pinot grigio,61827,,unbranded,True,False,drinks,4,2565,unbranded,0.0
ASDA,7.0,93.31,l,Barefoot Sauvignon Blanc,20240413,drinks,False,False,Barefoot Sauvignon Blanc,,,,Barefoot,,,750.0,ml,,True,,,,Sauvignon Blanc,barefoot sauvignon blanc,4890,Barefoot,branded,True,False,drinks,2,2578,branded,0.0
Tesco,8.0,10.64,l,Barefoot Sauvignon Blanc 75Cl,20240413,drinks,False,False,Barefoot Sauvignon Blanc 75Cl,,,,Barefoot,,,750.0,ml,,False,,,,Sauvignon Blanc,barefoot sauvignon blanc,61572,Barefoot,branded,True,False,drinks,2,2578,branded,0.0
ASDA,4.95,65.98,l,Le Manoir du Baron Pinot Noir 75cl,20240413,drinks,False,False,Le Manoir du Baron Pinot Noir 75cl,,,,,,,750.0,ml,,False,,,,Le Manoir du Baron Pinot Noir,le manoir du baron pinot noir,4962,,unbranded,True,False,drinks,4,2618,unbranded,0.0
Morrisons,7.0,9.31,l,Cono Sur Bicicleta Viognier,20240413,drinks,False,False,Cono Sur Bicicleta Viognier,,,,,,,750.0,ml,,True,,,,Cono Sur Bicicleta Viognier,cono sur bicicleta viognier,25219,,unbranded,True,False,drinks,4,2618,unbranded,0.0
Sains,7.0,9.31,l,Zana Pinot Noir 75cl,20240413,drinks,False,False,Zana Pinot Noir 75cl,,,,,,,750.0,ml,,False,,,,Zana Pinot Noir,zana pinot noir,40841,,unbranded,True,False,drinks,4,2618,unbranded,0.0
Tesco,7.0,9.31,l,Cono Sur Bicicleta Pinot Noir 75Cl,20240413,drinks,False,False,Cono Sur Bicicleta Pinot Noir 75Cl,,,,,,,750.0,ml,,False,,,,Cono Sur Bicicleta Pinot Noir,cono sur bicicleta pinot noir,61243,,unbranded,True,False,drinks,4,2618,unbranded,0.0
ASDA,3.0,4.65,kg,Chicago Town Takeaway Large Stuffed Pepperoni Pizza,20240413,frozen,False,False,Chicago Town Takeaway Large Stuffed Pepperoni Pizza,,,,Chicago Town,,,650.0,g,,True,,,,Takeaway Large Stuffed Pepperoni Pizza,chicago town takeaway large stuffed pepperoni pizza,5037,Chicago Town,branded,True,False,frozen,4,2660,branded,0.0
Morrisons,2.29,1.15,unit,Chicago Town Deep Dish Pepperoni Pizzas,20240413,frozen,False,False,Chicago Town Deep Dish Pepperoni Pizzas,,,,Chicago Town,,,,,,False,,,,Deep Dish Pepperoni Pizzas,chicago town deep dish pepperoni pizzas,26191,Chicago Town,branded,False,False,frozen,4,2660,branded,0.0
Sains,3.75,5.86,kg,Chicago Town Takeaway Large Cheesy Stuffed Pepperoni Pizza 640g,20240413,frozen,False,False,Chicago Town Takeaway Large Cheesy Stuffed Pepperoni Pizza 640g,,,,Chicago Town,,,640.0,g,,False,,,,Takeaway Large Cheesy Stuffed Pepperoni Pizza,chicago town takeaway large cheesy stuffed pepperoni pizza,45690,Chicago Town,branded,True,False,frozen,4,2660,branded,0.0
Tesco,1.59,5.1,kg,Chicago Town Deep Dish Pepperoni Pizzas 2 X 155G,20240412,frozen,False,False,Chicago Town Deep Dish Pepperoni Pizzas 2 X 155G,,,,Chicago Town,2.0,count_x_size,310.0,g,,False,,,,Deep Dish Pepperoni Pizzas,chicago town deep dish pepperoni pizzas,62364,Chicago Town,branded,True,True,frozen,4,2660,branded,0.0
ASDA,3.0,8.93,kg,Birds Eye 12 Green Cuisine Vegan Fishless Fingers,20240413,frozen,False,False,Birds Eye 12 Green Cuisine Vegan Fishless Fingers,,,,Birds Eye,,,340.0,g,,True,diet,vegan,,12 Green Cuisine Fishless Fingers,birds eye 12 green cuisine fishless fingers,5316,Birds Eye,branded,True,False,frozen,4,2798,branded,0.0
Morrisons,2.69,1.35,unit,Birds Eye 2 Green Cuisine Vegan C…,20240413,frozen,False,True,Birds Eye 2 Green Cuisine Vegan C…,,,,Birds Eye,,,,,,False,diet,vegan,,2 Green Cuisine C…,birds eye 2 green cuisine c,26912,Birds Eye,branded,False,False,frozen,4,2798,branded,0.0
Sains,3.0,8.93,kg,Birds Eye Green Cuisine Vegan Fishless Fingers x12 336g,20240405,free-from,False,False,Birds Eye Green Cuisine Vegan Fishless Fingers x12 336g,,,,Birds Eye,12.0,x_count,336.0,g,,False,diet,vegan,,Green Cuisine Fishless Fingers,birds eye green cuisine fishless fingers,47048,Birds Eye,branded,True,True,free_from,4,2798,branded,0.0
Tesco,3.0,8.93,kg,Birds Eye Green Cuisine Fishless Fingers 12 Pack 336G,20240405,frozen,False,False,Birds Eye Green Cuisine Fishless Fingers 12 Pack 336G,,,,Birds Eye,12.0,count_pack,336.0,g,,False,,,,Green Cuisine Fishless Fingers,birds eye green cuisine fishless fingers,63535,Birds Eye,branded,True,True,frozen,4,2798,branded,0.0
ASDA,3.2,8.89,kg,Birds Eye 12 Gluten Free Fish Fingers,20240413,frozen,False,False,Birds Eye 12 Gluten Free Fish Fingers,,,,Birds Eye,,,350.0,g,,True,free_from,gluten free,,12 Fish Fingers,birds eye 12 fish fingers,5530,Birds Eye,branded,True,False,frozen,4,2926,branded,0.0
Morrisons,3.75,10.42,kg,Birds Eye Gluten Free 12 Fish Fingers,20240413,free-from,False,False,Birds Eye Gluten Free 12 Fish Fingers,,,,Birds Eye,,,350.0,g,,True,free_from,gluten free,,12 Fish Fingers,birds eye 12 fish fingers,17190,Birds Eye,branded,True,False,free_from,4,2926,branded,0.0
Sains,4.0,11.11,kg,Birds Eye Chunky Chip Shop Curry Fish Fingers x6 360g,20240318,frozen,False,False,Birds Eye Chunky Chip Shop Curry Fish Fingers x6 360g,,,,Birds Eye,6.0,x_count,360.0,g,,False,,,{'texture': ['chunky']},Chunky Chip Shop Curry Fish Fingers,birds eye chunky chip shop curry fish fingers,47757,Birds Eye,branded,True,True,frozen,4,2926,branded,0.0
Tesco,3.35,9.31,kg,Birds Eye 12 Gluten Free Fish Finger 360G,20240413,frozen,False,False,Birds Eye 12 Gluten Free Fish Finger 360G,,,,Birds Eye,,,360.0,g,,False,free_from,gluten free,,12 Fish Finger,birds eye 12 fish finger,62088,Birds Eye,branded,True,False,frozen,4,2926,branded,0.0
ASDA,4.0,9.09,kg,Birds Eye 4 Battered Haddock Fish Fillets,20240413,frozen,False,False,Birds Eye 4 Battered Haddock Fish Fillets,,,,Birds Eye,,,450.0,g,,True,,,{'texture': ['battered']},4 Battered Haddock Fish Fillets,birds eye 4 battered haddock fish fillets,5552,Birds Eye,branded,True,False,frozen,4,2942,branded,0.0
Morrisons,4.5,10.23,kg,Birds Eye 4 Large Haddock Fillets Battered,20240413,frozen,False,False,Birds Eye 4 Large Haddock Fillets Battered,,,,Birds Eye,,,450.0,g,,True,,,{'texture': ['battered']},4 Large Haddock Fillets Battered,birds eye 4 large haddock fillets battered,26261,Birds Eye,branded,True,False,frozen,4,2942,branded,0.0
Sains,6.5,14.77,kg,Birds Eye Breaded Haddock Fish Fillets x4 440g,20240413,free-from,False,False,Birds Eye Breaded Haddock Fish Fillets x4 440g,,,,Birds Eye,4.0,x_count,440.0,g,,False,,,{'texture': ['breaded']},Breaded Haddock Fish Fillets,birds eye breaded haddock fish fillets,41857,Birds Eye,branded,True,True,free_from,4,2942,branded,0.0
Tesco,6.5,14.77,kg,Birds Eye 4 Large Breaded Haddock 440G,20240413,frozen,False,False,Birds Eye 4 Large Breaded Haddock 440G,,,,Birds Eye,,,440.0,g,,False,,,{'texture': ['breaded']},4 Large Breaded Haddock,birds eye 4 large breaded haddock,57138,Birds Eye,branded,True,False,frozen,4,2942,branded,0.0
ASDA,2.5,6.2,l,Calippo Cola,20240413,frozen,False,False,Calippo Cola,,,,,,,400.0,ml,,True,,,,Calippo Cola,calippo cola,5802,,unbranded,True,False,frozen,4,3086,unbranded,0.0
Morrisons,2.5,6.2,l,Calippo Cola Ice Lollies,20240413,free-from,False,False,Calippo Cola Ice Lollies,,,,,,,400.0,ml,,True,,,,Calippo Cola Ice Lollies,calippo cola ice lollies,17057,,unbranded,True,False,free_from,4,3086,unbranded,0.0
Sains,2.6,6.5,l,Calippo Walls Cola Ice Lollies 5x80ml,20240413,frozen,False,False,Calippo Walls Cola Ice Lollies 5x80ml,,,,,5.0,count_x_size,400.0,ml,,False,,,,Calippo Walls Cola Ice Lollies,calippo walls cola ice lollies,45769,,unbranded,True,True,frozen,4,3086,unbranded,0.0
Tesco,2.0,5.0,l,Wall's Calippo Mini Cola Ice Lollies 5x80ml,20240413,frozen,False,False,Wall's Calippo Mini Cola Ice Lollies 5x80ml,,,,Wall's,5.0,count_x_size,400.0,ml,,False,,,,Calippo Mini Cola Ice Lollies,walls calippo mini cola ice lollies,52238,Wall's,branded,True,True,frozen,4,3086,branded,0.0
ASDA,2.5,3.47,kg,Aunt Bessie's Crispy & Fluffy Roasties,20240413,frozen,False,False,Aunt Bessie's Crispy & Fluffy Roasties,,,,Aunt Bessie's,,,700.0,g,,True,,,{'texture': ['crispy']},Crispy and Fluffy Roasties,aunt bessies crispy and fluffy roasties,5965,Aunt Bessie's,branded,True,False,frozen,4,3185,branded,0.0
Morrisons,2.5,3.47,kg,Aunt Bessie's Roast Potatoes,20240413,frozen,False,False,Aunt Bessie's Roast Potatoes,,,,Aunt Bessie's,,,700.0,g,,True,,,,Roast Potatoes,aunt bessies roast potatoes,26581,Aunt Bessie's,branded,True,False,frozen,4,3185,branded,0.0
Sains,2.4,3.33,kg,Aunt Bessie's Roast Potatoes 720g,20240413,free-from,False,False,Aunt Bessie's Roast Potatoes 720g,,,,Aunt Bessie's,,,720.0,g,,False,,,,Roast Potatoes,aunt bessies roast potatoes,41544,Aunt Bessie's,branded,True,False,free_from,4,3185,branded,0.0
Tesco,2.5,3.47,kg,Aunt Bessie's Crispy & Fluffy Roasties 720G,20240413,frozen,False,False,Aunt Bessie's Crispy & Fluffy Roasties 720G,,,,Aunt Bessie's,,,720.0,g,,False,,,{'texture': ['crispy']},Crispy and Fluffy Roasties,aunt bessies crispy and fluffy roasties,59415,Aunt Bessie's,branded,True,False,frozen,4,3185,branded,0.0
ASDA,1.5,13.0,kg,ASDA German Style Salami,20240413,fresh_food,True,False,ASDA German Style Salami,ASDA,standard,,,,,115.4,g,,True,,,,German Style Salami,german style salami,6578,,own_brand,True,False,fresh_food,4,3564,own_brand,0.0
Morrisons,1.35,13.5,kg,Morrisons German Salami,20240413,fresh_food,True,False,Morrisons German Salami,Morrisons,standard,,,,,100.0,g,,True,,,,German Salami,german salami,19393,,own_brand,True,False,fresh_food,4,3564,own_brand,0.0
Sains,1.35,13.5,kg,Sainsbury's French Style Salad 100g,20240413,fresh_food,True,False,Sainsbury's French Style Salad 100g,Sainsbury's,standard,,,,,100.0,g,,False,,,,French Style Salad,french style salad,43704,,own_brand,True,False,fresh_food,4,3564,own_brand,0.0
Tesco,2.25,18.8,kg,Tesco German Salami Selection 120G,20240412,fresh_food,True,False,Tesco German Salami Selection 120G,Tesco,standard,,,,,120.0,g,,False,,,,German Salami Selection,german salami selection,62646,,own_brand,True,False,fresh_food,4,3564,own_brand,0.0
ASDA,1.25,7.58,kg,Philadelphia Light Soft Cheese,20240413,fresh_food,False,False,Philadelphia Light Soft Cheese,,,,Philadelphia,,,170.0,g,,True,,,{'texture': ['soft']},Light Soft Cheese,philadelphia light soft cheese,7187,Philadelphia,branded,True,False,fresh_food,4,3857,branded,0.0
Morrisons,1.25,7.58,kg,Philadelphia Light Low Fat Soft Cream Cheese,20240413,fresh_food,False,False,Philadelphia Light Low Fat Soft Cream Cheese,,,,Philadelphia,,,170.0,g,,True,diet,low fat,{'texture': ['soft']},Light Soft Cream Cheese,philadelphia light soft cream cheese,19313,Philadelphia,branded,True,False,fresh_food,4,3857,branded,0.0
Sains,1.25,7.57,kg,Philadelphia Light Soft Cheese 165g,20240413,fresh_food,False,False,Philadelphia Light Soft Cheese 165g,,,,Philadelphia,,,165.0,g,,False,,,{'texture': ['soft']},Light Soft Cheese,philadelphia light soft cheese,43908,Philadelphia,branded,True,False,fresh_food,4,3857,branded,0.0
Tesco,2.2,13.33,kg,Philadelphia Light Low Fat Soft Cream Cheese 165G,20240413,fresh_food,False,False,Philadelphia Light Low Fat Soft Cream Cheese 165G,,,,Philadelphia,,,165.0,g,,False,diet,low fat,{'texture': ['soft']},Light Soft Cream Cheese,philadelphia light soft cream cheese,56936,Philadelphia,branded,True,False,fresh_food,4,3857,branded,0.0
ASDA,2.0,5.0,kg,Stagg Chili Dynamite Hot Chili Con Carne,20240413,food_cupboard,False,False,Stagg Chili Dynamite Hot Chili Con Carne,,,,,,,400.0,g,,True,,,{'flavor': ['hot']},Stagg Chili Dynamite Hot Chili Con Carne,stagg chili dynamite hot chili con carne,7710,,unbranded,True,False,food_cupboard,4,4152,unbranded,0.0
Morrisons,2.0,5.0,kg,Stagg Dynamite Hot Chili Con Carne,20240413,food_cupboard,False,False,Stagg Dynamite Hot Chili Con Carne,,,,,,,400.0,g,,True,,,{'flavor': ['hot']},Stagg Dynamite Hot Chili Con Carne,stagg dynamite hot chili con carne,20898,,unbranded,True,False,food_cupboard,4,4152,unbranded,0.0
Sains,2.2,5.5,kg,Stagg Dynamite Hot Chilli 400g,20240413,food_cupboard,False,False,Stagg Dynamite Hot Chilli 400g,,,,,,,400.0,g,,False,,,{'flavor': ['hot']},Stagg Dynamite Hot Chilli,stagg dynamite hot chilli,35088,,unbranded,True,False,food_cupboard,4,4152,unbranded,0.0
Tesco,1.85,4.72,kg,Stockwell & Co Chilli Con Carne 392G,20240413,food_cupboard,False,False,Stockwell & Co Chilli Con Carne 392G,Stockwell & Co,value,Stockwell,,,,392.0,g,,False,,,,Chilli Con Carne,chilli con carne,60225,,unbranded,True,False,food_cupboard,4,4152,unbranded,0.0
ASDA,3.5,7.7,l,Flying Goose Sriracha Hot Chilli Sauce 455ml,20240413,food_cupboard,False,False,Flying Goose Sriracha Hot Chilli Sauce 455ml,,,,Flying Goose,,,455.0,ml,,False,,,{'flavor': ['hot']},Sriracha Hot Chilli Sauce,flying goose sriracha hot chilli sauce,8110,Flying Goose,branded,True,False,food_cupboard,2,4380,branded,0.0
Sains,3.6,7.9,l,Flying Goose Sriracha Hot Chilli Sauce 455ml,20240413,food_cupboard,False,False,Flying Goose Sriracha Hot Chilli Sauce 455ml,,,,Flying Goose,,,455.0,ml,,False,,,{'flavor': ['hot']},Sriracha Hot Chilli Sauce,flying goose sriracha hot chilli sauce,34270,Flying Goose,branded,True,False,food_cupboard,2,4380,branded,0.0
ASDA,1.75,7.3,kg,Heinz Mild Yellow Mustard,20240413,food_cupboard,False,False,Heinz Mild Yellow Mustard,,,,Heinz,,,240.0,g,,True,,,"{'flavor': ['mild'], 'maturity': ['mild']}",Mild Yellow Mustard,heinz mild yellow mustard,8176,Heinz,branded,True,False,food_cupboard,2,4429,branded,0.0
Sains,1.75,7.3,kg,"Heinz Yellow Mustard, Mild 220ml",20240413,food_cupboard,False,False,"Heinz Yellow Mustard, Mild 220ml",,,,Heinz,,,220.0,ml,,False,,,"{'flavor': ['mild'], 'maturity': ['mild']}","Yellow Mustard, Mild",heinz yellow mustard mild,35201,Heinz,branded,True,False,food_cupboard,2,4429,branded,0.0
ASDA,3.5,5.8,kg,Heinz Light Salad Cream,20240413,food_cupboard,False,False,Heinz Light Salad Cream,,,,Heinz,,,600.0,g,,True,,,,Light Salad Cream,heinz light salad cream,8188,Heinz,branded,True,False,food_cupboard,3,4438,branded,0.0
Sains,3.75,6.2,l,Heinz Salad Cream Light 605g,20240413,food_cupboard,False,False,Heinz Salad Cream Light 605g,,,,Heinz,,,605.0,g,,False,,,,Salad Cream Light,heinz salad cream light,32751,Heinz,branded,True,False,food_cupboard,3,4438,branded,0.0
Tesco,3.9,6.4,kg,Heinz Salad Cream Light 605G,20240413,food_cupboard,False,False,Heinz Salad Cream Light 605G,,,,Heinz,,,605.0,g,,False,,,,Salad Cream Light,heinz salad cream light,52297,Heinz,branded,True,False,food_cupboard,3,4438,branded,0.0
ASDA,1.9,17.0,kg,Knorr Vegetable Stock Pot,20240413,food_cupboard,False,False,Knorr Vegetable Stock Pot,,,,Knorr,,,110.0,g,,True,,,,Vegetable Stock Pot,knorr vegetable stock pot,8368,Knorr,branded,True,False,food_cupboard,4,4561,branded,0.0
Morrisons,1.89,16.9,kg,Knorr Vegetable Stock Pot 4 Pack,20240413,food_cupboard,False,False,Knorr Vegetable Stock Pot 4 Pack,,,,Knorr,4.0,count_pack,110.0,g,,True,,,,Vegetable Stock Pot,knorr vegetable stock pot,22077,Knorr,branded,True,True,food_cupboard,4,4561,branded,0.0
Sains,1.9,17.0,kg,Knorr Stock Pot Vegetable 4x28g,20240413,food_cupboard,False,False,Knorr Stock Pot Vegetable 4x28g,,,,Knorr,4.0,count_x_size,112.0,g,,False,,,,Stock Pot Vegetable,knorr stock pot vegetable,32315,Knorr,branded,True,True,food_cupboard,4,4561,branded,0.0
Tesco,1.25,11.2,kg,Knorr Vegetable Stock Pot 4x28g,20240413,food_cupboard,False,False,Knorr Vegetable Stock Pot 4x28g,,,,Knorr,4.0,count_x_size,112.0,g,,False,,,,Vegetable Stock Pot,knorr vegetable stock pot,55648,Knorr,branded,True,True,food_cupboard,4,4561,branded,0.0
ASDA,1.0,10.0,kg,East End Hot Peri Peri Rub,20240413,food_cupboard,False,False,East End Hot Peri Peri Rub,,,,East End,,,100.0,g,,True,,,{'flavor': ['hot']},Hot Peri Peri Rub,east end hot peri peri rub,8557,East End,branded,True,False,food_cupboard,2,4691,branded,0.0
Sains,1.2,12.0,kg,East End Hot Peri Peri Seasoning 100g,20240413,food_cupboard,False,False,East End Hot Peri Peri Seasoning 100g,,,,East End,,,100.0,g,,False,,,{'flavor': ['hot']},Hot Peri Peri Seasoning,east end hot peri peri seasoning,38310,East End,branded,True,False,food_cupboard,2,4691,branded,0.0
ASDA,3.0,23.1,kg,KP Flavour Kravers Crunchy Coated Aromatic Thai Chilli Flavour Peanuts 130g,20240413,fresh_food,False,False,KP Flavour Kravers Crunchy Coated Aromatic Thai Chilli Flavour Peanuts 130g,,,,Kp,,,130.0,g,,False,,,"{'texture': ['crunchy', 'coated']}",Flavour Kravers Crunchy Coated Aromatic Thai Chilli Flavour Peanuts,kp flavor kravers crunchy coated aromatic thai chilli flavor peanuts,9001,Kp,branded,True,False,fresh_food,3,4996,branded,0.0
Sains,3.0,23.1,kg,KP Flavour Kravers Crunchy Coated Aromatic Thai Chilli Flavour Peanuts 130g,20240413,food_cupboard,False,False,KP Flavour Kravers Crunchy Coated Aromatic Thai Chilli Flavour Peanuts 130g,,,,Kp,,,130.0,g,,False,,,"{'texture': ['crunchy', 'coated']}",Flavour Kravers Crunchy Coated Aromatic Thai Chilli Flavour Peanuts,kp flavor kravers crunchy coated aromatic thai chilli flavor peanuts,38051,Kp,branded,True,False,food_cupboard,3,4996,branded,0.0
Tesco,3.0,23.1,kg,Kp Flavour Kravers Thai Chilli Coated Peanuts 130G,20240413,food_cupboard,False,False,Kp Flavour Kravers Thai Chilli Coated Peanuts 130G,,,,Kp,,,130.0,g,,False,,,{'texture': ['coated']},Flavour Kravers Thai Chilli Coated Peanuts,kp flavor kravers thai chilli coated peanuts,58046,Kp,branded,True,False,food_cupboard,3,4996,branded,0.0
ASDA,2.0,2.0,l,Alpro Not M*lk Whole Long Life Drink,20240413,fresh_food,False,False,Alpro Not M*lk Whole Long Life Drink,,,,Alpro,,,1000.0,ml,,True,,,{'form': ['whole']},Not M*lk Whole Long Life Drink,alpro not m lk whole long life drink,9324,Alpro,branded,True,False,fresh_food,4,5218,branded,0.0
Morrisons,1.5,1.5,l,Alpro Oat Long Life Drink,20240413,fresh_food,False,False,Alpro Oat Long Life Drink,,,,Alpro,,,1000.0,ml,,True,,,,Oat Long Life Drink,alpro oat long life drink,18528,Alpro,branded,True,False,fresh_food,4,5218,branded,0.0
Sains,1.5,1.5,l,Alpro Not Milk Whole Long Life Drink 1L,20240413,drinks,False,False,Alpro Not Milk Whole Long Life Drink 1L,,,,Alpro,,,1000.0,ml,,False,,,{'form': ['whole']},Not Milk Whole Long Life Drink,alpro not milk whole long life drink,40694,Alpro,branded,True,False,drinks,4,5218,branded,0.0
Tesco,2.0,2.0,l,Alpro This is Not M*lk Oat Whole Long Life Dairy Free Drink 1L,20240413,food_cupboard,False,False,Alpro This is Not M*lk Oat Whole Long Life Dairy Free Drink 1L,,,,Alpro,,,1000.0,ml,,False,free_from,dairy free,{'form': ['whole']},This is Not M*lk Oat Whole Long Life Drink,alpro this is not m lk oat whole long life drink,57687,Alpro,branded,True,False,food_cupboard,4,5218,branded,0.0
ASDA,1.0,6.7,kg,ASDA Cheese Balls Sharing Snacks,20240413,food_cupboard,True,False,ASDA Cheese Balls Sharing Snacks,ASDA,standard,,,,,150.0,g,,True,,,,Cheese Balls Sharing Snacks,cheese balls sharing snacks,9610,,own_brand,True,False,food_cupboard,4,5403,own_brand,0.0
Morrisons,1.0,7.1,kg,Morrisons Cheese Balls,20240413,food_cupboard,True,False,Morrisons Cheese Balls,Morrisons,standard,,,,,140.0,g,,True,,,,Cheese Balls,cheese balls,20750,,own_brand,True,False,food_cupboard,4,5403,own_brand,0.0
