supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name,product_idx,known_brand_clean,product_type,has_unit,has_pack,cat_norm,cluster_size,cluster_id,match_type,avg_pairwise_score
Sains,1.2,8.6,kg,Sainsbury's Cheese Balls 140g,20240403,food_cupboard,True,False,Sainsbury's Cheese Balls 140g,Sainsbury's,standard,,,,,140.0,g,,False,,,,Cheese Balls,cheese balls,47165,,own_brand,True,False,food_cupboard,4,5403,own_brand,0.0
Tesco,1.0,6.7,kg,Tesco Cheese Balls Snacks 150G,20240413,food_cupboard,True,False,Tesco Cheese Balls Snacks 150G,Tesco,standard,,,,,150.0,g,,False,,,,Cheese Balls Snacks,cheese balls snacks,52376,,own_brand,True,False,food_cupboard,4,5403,own_brand,0.0
ASDA,2.0,23.5,kg,Properchips Barbecue Lentil Chips Sharing Bag,20240413,food_cupboard,False,False,Properchips Barbecue Lentil Chips Sharing Bag,,,,Properchips,,,85.1,g,,True,,,{'cooking_method': ['barbecue']},Barbecue Lentil Chips Sharing Bag,properchips barbecue lentil chips sharing bag,9664,Properchips,branded,True,False,food_cupboard,3,5431,branded,0.0
Morrisons,1.5,17.6,kg,Properchips Barbecue Lentil Chips,20240413,free-from,False,False,Properchips Barbecue Lentil Chips,,,,Properchips,,,85.2,g,,True,,,{'cooking_method': ['barbecue']},Barbecue Lentil Chips,properchips barbecue lentil chips,17058,Properchips,branded,True,False,free_from,3,5431,branded,0.0
Sains,1.5,17.6,kg,Properchips Barbecue Lentil Chips 85g,20240413,food_cupboard,False,False,Properchips Barbecue Lentil Chips 85g,,,,Properchips,,,85.0,g,,False,,,{'cooking_method': ['barbecue']},Barbecue Lentil Chips,properchips barbecue lentil chips,32934,Properchips,branded,True,False,food_cupboard,3,5431,branded,0.0
ASDA,3.0,6.0,kg,Linda McCartney's Vegemince,20240413,free-from,False,False,Linda McCartney's Vegemince,,,,Linda Mccartney,,,500.0,g,,True,,,,'s Vegemince,linda mccartney s vegemince,9918,Linda Mccartney,branded,True,False,free_from,4,5549,branded,0.0
Morrisons,2.0,4.0,kg,Linda McCartney Mince,20240413,frozen,False,False,Linda McCartney Mince,,,,Linda Mccartney,,,500.0,g,,True,,,{'cut_meat': ['mince']},Mince,linda mccartney mince,26321,Linda Mccartney,branded,True,False,frozen,4,5549,branded,0.0
Sains,2.0,4.0,kg,Linda Mccartney Vegetarian Mince 500g,20240413,free-from,False,False,Linda Mccartney Vegetarian Mince 500g,,,,Linda Mccartney,,,500.0,g,,False,diet,vegetarian,{'cut_meat': ['mince']},Mince,linda mccartney mince,41915,Linda Mccartney,branded,True,False,free_from,4,5549,branded,0.0
Tesco,2.8,5.6,kg,Linda Mccartneys Vegemince 500G,20240413,frozen,False,False,Linda Mccartneys Vegemince 500G,,,,,,,500.0,g,,False,,,,Linda Mccartneys Vegemince,linda mccartneys vegemince,61088,,unbranded,True,False,frozen,4,5549,unbranded,0.0
ASDA,2.0,0.4,unit,Cadbury 5 Chocolate Mint Mini Rolls,20240413,bakery,False,False,Cadbury 5 Chocolate Mint Mini Rolls,,,,Cadbury,,,,,,False,,,,5 Chocolate Mint Mini Rolls,cadbury 5 chocolate mint mini rolls,11037,Cadbury,branded,False,False,bakery,4,6170,branded,0.0
