ensemble_cluster_id,cluster_size,min_cos,min_jac,size_ratio,n_brands,n_cats,confidence_score,likely_good
6817,3,0.8898228150475322,1.0,1.0,0,1,1.0,True
6818,2,0.8571800137840685,0.6666666666666666,1.0,0,1,0.9861111111111112,True
6820,3,0.7714891150490898,0.6,1.0,0,1,0.9461143826400862,True
6821,3,1.0,1.0,1.0,0,1,1.0,True
6822,2,0.9188606551565351,1.0,1.0196078431372548,0,1,1.0,True
6823,3,0.9307857634795057,1.0,1.0,0,2,0.9500000000000001,False
6824,4,0.5014076692811064,0.3333333333333333,1.0105263157894737,0,3,0.6692540804855536,False
6825,2,0.974975757929577,1.0,1.0,0,1,1.0,True
6826,2,0.8281986621493949,0.5,1.0,0,1,0.9166666666666667,True
6827,2,0.9702306031532963,1.0,1.0,0,1,1.0,True
6828,3,0.9023155012231098,0.8333333333333334,1.0,1,1,1.0,True
6829,4,0.6764286579461725,0.6666666666666666,1.0,1,1,0.9331519645166135,True
6831,2,0.6853918073545687,0.5714285714285714,1.0,1,1,0.8973107745805295,True
6832,2,0.9788666957278579,1.0,1.0,1,1,1.0,True
6833,2,0.7988225900972417,1.0,1.0,1,1,0.9994953957559607,True
6834,2,0.871924994443559,1.0,1.0,1,1,1.0,True
6835,2,0.8028980810880249,0.75,1.0,0,1,1.0,True
6836,3,0.6404502186015992,0.5714285714285714,1.0,0,1,0.8780500936863997,True
6837,3,0.6613688523627717,0.5714285714285714,1.0,0,1,0.8870152224411878,True
6838,2,0.8733396853676815,0.6666666666666666,1.0,0,1,0.9861111111111112,True
6839,3,0.27687894275806274,0.16666666666666666,1.032,0,1,0.5535830389598047,False
6841,4,0.38709321724499024,0.3333333333333333,1.07,0,1,0.6702621724700751,False
6842,2,0.8059335630711768,1.0,1.1,0,1,1.0,True
6845,2,0.8778354260586007,1.0,1.0,0,1,1.0,True
6846,4,0.7956842963932588,0.3333333333333333,1.1764705882352942,0,1,0.7653726349621903,True
6847,3,0.9676934969893352,1.0,1.0,0,2,0.9500000000000001,False
6848,2,0.6274187519903396,0.6666666666666666,1.1764705882352942,0,1,0.8321477191069709,True
6849,4,0.615196114816101,0.5,1.1428571428571428,0,2,0.7074650015878529,False
6850,4,0.798655379158415,0.3333333333333333,1.1764705882352942,0,1,0.7666459561472572,True
6852,3,0.6194144100042531,0.5,1.0,0,1,0.8392728423827751,True
6853,2,0.5964995298601592,1.0,1.0,0,1,0.9127855127972111,True
6854,2,0.9999999999999992,1.0,1.0,0,2,0.9500000000000001,False
6857,2,0.6770500712466968,0.3333333333333333,1.1111111111111112,0,1,0.7145293956136637,True
6858,2,0.5003999984104766,0.5,1.0,0,1,0.7882666659854424,True
6860,2,0.6341690127300741,0.5,1.0333333333333334,0,1,0.8455962435509842,True
6861,4,0.6666425382601289,0.75,1.098901098901099,0,1,0.9428468021114838,True
6862,4,0.7486194844898395,0.75,1.098901098901099,0,1,0.9779797790670741,True
6864,3,0.41567757272908173,0.25,1.0,0,1,0.6477903883124636,True
6865,2,0.9465653044789462,1.0,1.0,0,2,0.9500000000000001,False
6866,2,0.9570456850416449,1.0,1.0,0,2,0.9500000000000001,False
6867,2,0.9630470132113855,1.0,1.0,0,2,0.9500000000000001,False
6868,2,0.883423725874117,0.8,1.02,0,2,0.9500000000000001,False
6869,2,0.9579230201621014,1.0,1.0,0,2,0.9500000000000001,False
6870,4,0.3800762990707876,0.5,1.0318181818181817,0,1,0.7366993662684328,False
6871,2,0.6952528255735948,0.6666666666666666,1.0526315789473684,0,1,0.9412194649283661,True
6872,2,0.7634253874593477,1.0,1.0,0,1,0.9843251660540062,True
6873,2,0.7775259757610233,0.5714285714285714,1.0416666666666667,0,1,0.9367968467547243,True
6874,2,0.6428835476989341,0.6666666666666666,1.1538461538461537,0,1,0.8387754886963685,True
6875,3,0.8235400846844797,0.8333333333333334,1.0,1,2,0.9500000000000001,False
6876,2,0.6871136255976462,0.75,1.0,1,2,0.9016201252561341,False
6877,3,0.6512322822251363,0.75,1.0285714285714285,0,1,0.9362424066679156,True
6878,3,0.4823547520092325,0.5,1.1428571428571428,0,1,0.7005329889563378,True
6881,2,0.9304886775516006,1.0,1.0222222222222221,1,1,1.0,True
6882,2,0.6996410220598268,0.6,1.0714285714285714,0,1,0.9153223427875448,True
6883,2,0.8766537535324072,1.0,1.0,0,1,1.0,True
6884,2,0.9454350532435709,1.0,1.0,1,1,1.0,True
6885,2,0.7036049028528565,0.6,1.0434782608695652,0,1,0.9170211488417004,True
6886,2,0.9718522865726091,1.0,1.0,1,2,0.9500000000000001,False
6887,3,0.9477069001919799,1.0,1.0,1,2,0.9500000000000001,False
6888,3,0.8060963344750637,0.5,1.0714285714285714,0,1,0.9166666666666667,True
6889,3,1.0000000000000002,1.0,1.0,1,1,1.0,True
6890,3,0.9684038761791129,1.0,1.0,1,2,0.9500000000000001,False
6891,3,0.9762455396357277,1.0,1.0,1,1,1.0,True
6894,2,0.6046039091156461,0.6,1.0,0,1,0.8745921515257531,True
6896,4,0.4287766583149451,0.42857142857142855,1.0,0,3,0.6778090440397384,False
6900,4,0.657887552532212,0.5,1.0,0,1,0.8557613320376147,True
6901,2,0.742428505617421,0.75,1.1111111111111112,1,1,0.8953265024074663,True
6902,2,0.8116175293531217,1.0,1.0384615384615385,0,1,1.0,True
6903,3,0.5005262026833038,0.42857142857142855,1.025,0,1,0.7585588487690349,True
6905,3,0.760793848490952,0.5,1.0,0,1,0.8998640303056462,True
6908,2,0.6435081246991693,0.6,1.0,0,1,0.8912653867758344,True
6909,4,0.575462009669008,0.4,1.0,0,1,0.7787694327152892,True
6910,2,0.6788045692663691,0.75,1.0,0,1,0.9480591011141581,True
6911,2,0.4330020578698901,0.5,1.0,0,1,0.759381834325191,True
6912,2,0.4031113639067623,0.6,1.0,0,1,0.7882382035790887,True
