cid,size,min_cos,min_jac,size_ratio,n_brands,n_cats,confidence,likely_good
12977,2,0.4000777933371431,0.3333333333333333,1.0,0,1,0.6758269907952835,True
12978,3,0.5043610776399345,0.5,1.0101010101010102,1,1,0.7899642713694959,True
12979,2,0.8381534512675303,1.0,1.0,1,1,1.0,True
12981,2,0.9338232659075604,1.0,1.0,1,1,1.0,True
12982,2,0.9557673724897487,0.6,1.0,0,1,0.9583333333333333,True
12983,2,0.9999999999999999,1.0,1.0,1,1,1.0,True
12984,2,1.0000000000000002,1.0,1.0,1,1,1.0,True
12985,4,0.8161729640826074,0.5,1.0,0,2,0.8666666666666668,False
12986,2,0.7820492047261767,1.0,1.0,1,1,0.9923068020255044,True
12987,2,0.9999999999999999,1.0,1.0,1,1,1.0,True
12988,2,0.8895607821103684,0.8571428571428571,1.0,0,1,1.0,True
12989,2,0.7516891645530686,0.6666666666666666,1.0,0,1,0.9654064673481404,True
12990,4,0.5633340502536228,0.2857142857142857,1.0,1,2,0.6759526882039336,False
12991,2,0.7624990982967179,1.0,1.0,1,1,0.9839281849843076,True
12993,2,0.6372339830150033,0.2857142857142857,1.0,1,1,0.757624087958811,True
12994,3,0.2552619994494555,0.25,1.1363636363636365,0,1,0.49904085690690947,False
12996,3,0.9036596613429317,1.0,1.0,1,1,1.0,True
12997,2,0.912914217885859,0.6,1.0,1,1,0.9583333333333333,True
12999,2,0.8725724392492407,0.5714285714285714,1.0,0,1,0.9464285714285714,True
13001,2,0.8968078689177567,0.75,1.0,1,1,1.0,True
13003,4,0.5088658118996615,0.2222222222222222,1.0057142857142858,1,1,0.6761541310257808,False
13004,2,0.9987187099035777,1.0,1.0,1,1,1.0,True
13005,2,0.9555998817388439,0.75,1.0,1,1,1.0,True
13006,2,0.6720369145653913,0.625,1.0,0,1,0.913908677670882,True
13008,2,0.8002544754922645,0.5,1.0,1,1,0.9166666666666667,True
13009,2,1.0000000000000007,1.0,1.0,1,1,1.0,True
13010,2,0.8244135494534149,0.5714285714285714,1.0,1,1,0.9464285714285714,True
13011,3,0.7271786051112945,0.8333333333333334,1.0061363636363636,2,1,0.8637908307619833,False
13012,2,0.914787414561448,1.0,1.0,1,1,1.0,True
13013,2,0.754611895012805,0.75,1.0,1,1,0.9805479550054879,True
13014,2,0.8461419136499756,0.5714285714285714,1.0,0,1,0.9464285714285714,True
13015,2,0.7669031882256708,0.42857142857142855,1.0,1,1,0.8727204140014779,True
13016,2,0.64493842301184,0.3333333333333333,1.0,2,1,0.675767260655868,False
13017,2,1.0,1.0,1.0,0,1,1.0,True
13018,2,0.6648971336743131,0.8,1.0,0,1,0.9420987715747057,True
13019,2,0.9999999999999999,1.0,1.0,0,1,1.0,True
13021,2,0.5816149354118854,0.6666666666666666,1.0,1,1,0.8925175120019191,True
13022,2,0.4667288125791544,0.3333333333333333,1.0,0,1,0.7043917133275741,True
13023,2,0.8960305244760258,0.625,1.0,1,1,0.96875,True
13024,2,0.8131744011008798,0.7142857142857143,1.0,0,1,1.0,True
13026,2,0.9999999999999992,1.0,1.0,1,1,1.0,True
13027,2,0.9130102107361389,0.8,1.0,0,2,0.9500000000000001,False
13028,2,0.7950711487301768,0.5555555555555556,1.0,1,1,0.9377024499848907,True
13029,2,0.7740158818230337,1.0,1.0,2,1,0.8838639493527287,False
13030,2,0.7054275623950157,0.5714285714285714,1.0,1,1,0.905897526740721,True
13031,4,0.4971352251920114,0.4,1.034851851851852,1,1,0.7452008107965763,True
13032,3,0.7624944204661457,0.625,1.0,1,1,0.9526761801997767,True
13033,2,0.9999999999999994,1.0,1.0,1,1,1.0,True
13034,4,0.6599729584146977,0.3333333333333333,1.0,0,1,0.7872106329713784,True
13035,4,0.8547927135107413,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13036,2,0.8489151546638588,0.8,1.0,0,1,1.0,True
13037,3,0.4516946353850676,0.5,1.0,0,1,0.7673929389745529,True
13038,2,0.9849369479731738,1.0,1.0,0,1,1.0,True
13039,2,0.8966989687472134,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13040,2,0.9475014299068477,1.0,1.0,0,1,1.0,True
13041,2,0.7249594282365474,1.0,1.0,1,1,0.9678397549585203,True
13042,2,0.9999999999999996,1.0,1.0,1,1,1.0,True
13043,4,0.6977245806165739,0.6,1.0,1,1,0.9145010107404365,True
13044,3,0.7996891825386289,0.6,1.0,1,1,0.9582001258498887,True
13045,3,0.7059847502019054,0.5,1.0,1,1,0.8763744167531976,True
13046,2,0.9999999999999998,1.0,1.0,1,1,1.0,True
13047,2,0.9999999999999997,1.0,1.0,1,1,1.0,True
13048,2,0.5717561681723533,0.6666666666666666,1.0,1,1,0.8882923260421196,True
13049,2,0.9209101714122959,1.0,1.0,1,1,1.0,True
13050,2,0.574149478603119,0.375,1.0,0,1,0.76779025273467,True
13052,2,0.7739092216880646,1.0,1.0,1,1,0.9888182378663135,True
13053,2,0.7147460557763189,0.375,1.0,0,1,0.8280459286660415,True
13054,2,0.9508083851507819,0.7142857142857143,1.0,1,1,1.0,True
13056,3,0.774487874284516,0.6,1.0,0,1,0.9473995651695546,True
13057,2,0.7166353232653864,0.6666666666666666,1.0,1,1,0.9503833925105625,True
13058,2,0.8521306134526465,1.0,1.0,1,1,1.0,True
13059,2,0.9999999999999998,1.0,1.0,1,1,1.0,True
13060,4,0.6006238579481179,0.42857142857142855,1.0,1,1,0.8014578438825268,True
13061,2,1.0,1.0,1.0,1,1,1.0,True
13062,2,0.8431974464917656,0.6666666666666666,1.0,0,1,0.9861111111111112,True
13063,2,1.0,1.0,1.0,1,1,1.0,True
13064,2,0.9667359889562581,1.0,1.0,1,1,1.0,True
13065,2,0.9013546334011299,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13066,2,0.4543290306481443,0.3333333333333333,1.0,0,1,0.6990775210714268,True
13067,3,0.6280914488378446,0.6666666666666666,4.0,1,1,0.7524360177559017,False
13069,2,0.999999999999999,1.0,1.0,1,1,1.0,True
13070,2,0.7014359547663566,0.4,1.0,1,1,0.8327582663284385,True
13071,2,0.6550202889897149,0.375,1.0,0,1,0.8024491714717825,True
13072,4,0.552288883544267,0.4,1.0003789026977872,1,1,0.7688380929475431,True
13073,3,0.7673632900185866,0.6,1.0,1,1,0.9443461719127275,True
13074,2,0.9265586662843451,0.5,1.0,1,1,0.9166666666666667,True
13075,3,0.47301761206500237,0.5,1.0,0,1,0.7765313575516677,True
13076,2,0.9999999999999997,1.0,1.0,1,1,1.0,True
13078,2,1.0,1.0,1.0,0,1,1.0,True
13080,2,0.8553808204122227,0.6666666666666666,1.0,0,1,0.9861111111111112,True
13081,3,0.8498643557107889,1.0,1.0,1,1,1.0,True
13082,2,0.5960022588207192,0.6,1.0,1,1,0.8709057299707845,True
13083,2,0.8202889479354677,0.6666666666666666,1.0,2,1,0.8811111111111112,False
13084,2,0.556181194157505,0.4,1.0,0,1,0.7705062260675022,True
13085,2,0.6970998751117409,0.5714285714285714,10.0,0,1,0.7423285179050318,False
13086,2,0.8399619360853092,0.5714285714285714,1.0,0,1,0.9464285714285714,True
13087,2,0.793355046468437,0.6666666666666666,1.0,1,1,0.9832632738832985,True
13088,2,0.6121400522940288,0.42857142857142855,1.0,0,1,0.80639335574506,True
13089,2,1.0,1.0,1.0,1,1,1.0,True
13090,2,0.8426377653212875,0.5714285714285714,1.0,0,1,0.9464285714285714,True
13091,3,0.7664804320482896,0.6666666666666666,1.0,1,1,0.9717455819889496,True
13092,2,1.0000000000000007,1.0,1.0,1,1,1.0,True
13093,2,0.9999999999999994,1.0,1.0,1,1,1.0,True
13094,2,0.7181632740046576,0.25,1.0,1,1,0.7774271174305676,True
13095,2,0.5981777432370454,0.2,1.0,0,1,0.7051714137682575,False
13096,3,0.6968895299886587,0.5,1.0,0,1,0.8724764652332347,True
13097,4,0.798117487720848,0.5714285714285714,1.0,1,1,0.9456217804517921,True
13098,2,0.8671795731277645,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13099,2,0.8651510350256103,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13101,2,0.9999999999999991,1.0,1.0,1,1,1.0,True
13102,2,0.8623260595566761,0.75,1.0,0,1,1.0,True
13104,2,1.0000000000000002,1.0,1.0,1,1,1.0,True
13105,2,0.9585675262892684,0.8333333333333334,1.0,1,1,1.0,True
13106,2,0.6946908135836793,0.7142857142857143,1.0,1,1,0.9548674915358626,True
13107,3,0.18081383408060117,0.14285714285714285,1.0,0,1,0.5024916431774005,False
13108,2,0.9350166621764764,0.8571428571428571,1.0,0,1,1.0,True
13109,3,0.8463717401453612,0.75,1.0,1,1,1.0,True
13110,2,0.7862108626584354,0.7142857142857143,1.0,1,1,0.9940903697107579,True
13111,2,0.9999999999999998,1.0,1.0,0,1,1.0,True
13112,3,0.7381910440981351,0.6666666666666666,1.0,1,1,0.9596215585817405,True
13113,2,0.9390988690422443,1.0,1.0,0,1,1.0,True
13115,2,0.8002638253415906,0.5,1.0,0,1,0.9166666666666667,True
13116,3,0.8060638918244188,0.8333333333333334,1.0,1,3,0.9500000000000001,False
13117,2,0.9605368392054978,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13118,2,0.8660273704242765,0.625,1.0,0,1,0.96875,True
13119,2,0.8177299801361322,0.8571428571428571,1.0,0,1,1.0,True
13120,2,0.9871689477159622,1.0,1.0,0,1,1.0,True
13121,3,0.6958915971887446,0.2857142857142857,1.0,1,1,0.7827630654618429,True
13122,2,0.8144778356004647,0.375,1.0,1,1,0.8645833333333333,True
13123,4,0.8139182805741887,0.625,1.0,1,1,0.96875,True
13124,2,0.9724430858266822,0.8333333333333334,1.0,0,1,1.0,True
13125,3,0.7026347157470025,0.5,1.0101010101010102,1,1,0.8749386877010963,True
13126,2,1.0000000000000004,1.0,1.0,0,1,1.0,True
13128,2,0.9847523200977243,1.0,1.0,0,1,1.0,True
13129,2,1.0000000000000007,1.0,1.0,0,2,0.9500000000000001,False
13130,2,0.6894008551572636,1.0,1.056,1,1,0.9526003664959701,True
13131,2,0.8052397688280769,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13132,2,0.6882671174155199,0.5,1.0,2,1,0.7637811455590324,False
13133,2,0.9999999999999992,1.0,1.0,1,1,1.0,True
13134,2,0.8758784625572235,1.0,1.0,1,1,1.0,True
13135,2,0.9999999999999999,1.0,1.0,1,1,1.0,True
13136,2,0.9019385456965979,0.8,1.0,1,1,1.0,True
13137,2,0.7401357819564378,0.6666666666666666,1.0,1,1,0.9604550176638702,True
13138,2,0.8558517429991734,0.625,1.0,0,1,0.96875,True
13139,2,0.7833374446619376,0.5714285714285714,1.0,1,1,0.9392874762836876,True
13140,2,0.8376219571934393,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13142,2,0.8558298618248401,0.5,1.0,0,2,0.8666666666666668,False
13143,2,0.9141951967436054,0.75,1.0,0,1,1.0,True
13144,2,0.8764589634729882,1.0,1.0,0,1,1.0,True
13145,2,0.8984877455489705,1.0,1.0,1,2,0.9500000000000001,False
13146,2,0.7747382786339876,0.6666666666666666,1.0,1,1,0.9752846590971058,True
13147,2,0.9151779812548386,0.8,1.0,1,1,1.0,True
13148,2,0.8593334328825454,0.8333333333333334,1.0,1,1,1.0,True
13149,2,0.8003377293696727,0.6,1.0,1,1,0.9583333333333333,True
13150,2,0.8835572770931073,0.6,1.0,1,1,0.9583333333333333,True
13151,2,0.8626866697647118,0.75,4.0,0,1,0.8400000000000001,False
13152,2,1.0,1.0,1.0,0,1,1.0,True
13153,2,1.0000000000000004,1.0,1.0,1,1,1.0,True
13154,2,0.852899165448436,0.75,1.0,0,1,1.0,True
13155,3,0.8715114214088808,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13156,2,0.7423111264584823,0.7142857142857143,1.0,1,1,0.9752761970536352,True
13157,2,0.758000921499266,0.75,1.0,0,1,0.9820003949282567,True
13158,2,0.8785717103043095,0.75,4.0,1,1,0.8400000000000001,False
13159,2,0.8411129115628679,0.8571428571428571,1.0,1,1,1.0,True
13160,2,0.8292436288091237,0.8333333333333334,1.0,1,1,1.0,True
13161,3,0.01962201932135415,0.0,1.0,0,1,0.44999999999999996,False
13162,2,0.8610648089961723,0.5714285714285714,1.0,0,1,0.9464285714285714,True
13163,2,0.9290691804506691,0.5,1.0,1,1,0.9166666666666667,True
13166,2,0.8342369259827717,0.625,1.0,1,1,0.96875,True
13167,4,0.7805141644703799,0.5714285714285714,1.0153846153846153,1,1,0.9380774990587344,True
13169,2,0.999999999999999,1.0,1.0,0,1,1.0,True
13170,2,0.9017392260133308,0.6,1.0,1,1,0.9583333333333333,True
13172,3,0.7239712003989789,0.5,1.0004547521600726,1,1,0.8840828954090862,True
13173,2,0.8448461833169617,0.75,1.0309278350515463,1,2,0.9500000000000001,False
13174,2,0.8628062109815874,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13176,2,0.7694005186718883,1.0,1.0,1,1,0.9868859365736664,True
13177,2,1.0000000000000013,1.0,1.0,1,1,1.0,True
13178,2,0.7247509506944129,0.6666666666666666,1.0,1,1,0.9538615185515738,True
13179,2,0.5479517102340226,0.4,1.0,0,1,0.7669793043860098,True
13180,2,1.0000000000000004,1.0,1.0,0,1,1.0,True
13181,4,0.5124943909470616,0.375,1.0,1,1,0.7413666437392169,True
13182,3,0.7136328713241975,0.5714285714285714,1.0057142857142858,1,1,0.9094140877103705,True
13184,3,0.4182339138918093,0.2222222222222222,1.1363636363636365,1,1,0.5573118890224157,False
13185,2,1.0000000000000004,1.0,1.0,1,1,1.0,True
13187,2,0.9004685520331756,0.8,1.0,1,1,1.0,True
13188,2,0.8703069024145506,0.75,1.0153846153846153,1,2,0.9500000000000001,False
13189,2,0.8789343720563486,1.0,1.0,1,1,1.0,True
13191,2,0.9521347947949168,0.75,1.0,1,2,0.9500000000000001,False
13192,2,0.9853467030239987,0.8333333333333334,1.0,0,1,1.0,True
13194,2,0.9676948767997451,1.0,1.0,1,2,0.9500000000000001,False
13195,2,0.897892695507159,0.5,1.0,0,1,0.9166666666666667,True
13196,2,0.9999999999999994,1.0,1.0,1,1,1.0,True
13197,2,0.9003547006283629,1.0,10.0,1,1,0.8400000000000001,False
13199,2,0.95716030717495,0.8,1.0,0,1,1.0,True
13200,4,0.21717239585173648,0.16666666666666666,1.0,0,1,0.5279945188570934,False
13201,2,0.916235376473613,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13202,4,0.7936356676663372,0.7142857142857143,1.0,1,1,0.9972724289998587,True
13203,2,0.8533606645250537,0.6,1.0,0,1,0.9583333333333333,True
13204,2,0.8805438396294843,0.6666666666666666,1.0,0,1,0.9861111111111112,True
13205,2,1.0,1.0,1.0,1,1,1.0,True
13206,2,0.8061846880801151,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13207,3,0.45409335162921227,0.2857142857142857,1.0,1,1,0.679135245936329,True
13208,2,0.8888466274280514,1.0,1.0,1,2,0.9500000000000001,False
13209,2,0.7334790548073372,0.8,1.0,1,1,0.9714910234888587,True
13210,2,0.7761656534314605,0.6,1.0,0,1,0.9481186133753878,True
13212,2,0.9033618652928197,0.6,1.0,1,1,0.9583333333333333,True
13213,3,0.9442629587055013,1.0,1.0,1,2,0.9500000000000001,False
13214,4,0.3364068139843323,0.2,1.0,0,1,0.5929838726599519,False
13215,3,0.907909645030826,1.0,1.0,1,2,0.9500000000000001,False
13216,2,1.0000000000000002,1.0,1.0,0,1,1.0,True
13217,2,1.0000000000000002,1.0,1.0,0,1,1.0,True
13218,2,0.9999999999999996,1.0,1.0,0,1,1.0,True
13219,2,0.9363429656199941,0.8,1.0,1,1,1.0,True
13220,2,1.0,1.0,1.0,0,1,1.0,True
13221,2,0.9999999999999997,1.0,1.0,0,1,1.0,True
13223,2,0.9999999999999992,1.0,1.0,1,1,1.0,True
13224,2,0.87358629717962,1.0,1.0,1,1,1.0,True
13225,4,0.688108463235347,0.625,1.0,1,2,0.8707964842437202,False
13226,2,0.9999999999999996,1.0,1.0,0,1,1.0,True
13227,2,0.827245797172709,0.75,1.0,1,1,1.0,True
13228,2,0.9091574738891539,0.6666666666666666,1.0,0,1,0.9861111111111112,True
13229,2,1.0000000000000002,1.0,1.0,0,1,1.0,True
13230,2,0.7958330031044542,0.6,1.0,1,1,0.9565474775209566,True
13232,2,0.9115071084850662,1.0,1.0,0,1,1.0,True
13233,2,0.6133433323857396,0.6,4.0,0,1,0.7183376186415075,False
13234,3,0.7701875980153066,0.5714285714285714,1.0,1,1,0.9336518277208457,True
13235,2,0.8471518058877471,0.7142857142857143,1.0,0,1,1.0,True
13236,2,0.9999999999999992,1.0,1.0,1,1,1.0,True
13238,2,0.828688578673837,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13239,2,0.882642123819235,0.5714285714285714,1.0,1,1,0.9464285714285714,True
13240,2,0.8936248877727665,0.8,1.0,1,1,1.0,True
13241,2,0.3463889125822366,0.5,1.0,2,1,0.6172619149161966,False
13242,3,0.03258609390731326,0.0,1.0,0,1,0.44999999999999996,False
13243,2,0.8461140785971485,0.75,1.0,0,1,1.0,True
13244,2,0.8323008317562525,0.75,1.0,0,1,1.0,True
13245,2,0.7807302480301285,0.6666666666666666,1.0,0,1,0.9778526459811663,True
13246,3,0.8489145337281153,0.6666666666666666,1.0,1,1,0.9861111111111112,True
13247,2,0.35519773972536833,0.5,1.0,0,1,0.7260371265489673,False
13248,2,0.8964066472402311,0.875,1.0,0,1,1.0,True
13250,2,0.9999999999999996,1.0,1.0,1,1,1.0,True
13251,2,0.9091824534388269,1.0,1.0,0,1,1.0,True
13252,2,0.8371681635488945,0.6,1.0,0,1,0.9583333333333333,True
13253,2,0.7158956647441526,0.75,1.0,0,1,0.963955284890351,True
13254,2,1.0000000000000004,1.0,1.0,0,1,1.0,True
13255,2,0.9999999999999987,1.0,1.0,0,1,1.0,True
13256,2,0.736684598105062,0.6,1.0,1,1,0.9311981610926456,True
13257,2,1.0,1.0,1.0,1,1,1.0,True
13258,2,0.9999999999999996,1.0,1.0,0,1,1.0,True
13260,2,1.0000000000000007,1.0,1.0,1,1,1.0,True
13261,2,0.9444752508805693,0.75,4.0,1,1,0.8400000000000001,False
13262,2,0.8003455210727581,0.75,1.0,1,1,1.0,True
13263,2,0.8269534830181403,0.8333333333333334,1.0,1,1,1.0,True
13265,2,0.7035501244049162,0.5,1.0,1,1,0.8753310056973451,True
13266,4,0.2535524516126822,0.125,1.1111111111111112,1,1,0.446224860214959,False
