supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Tesco,1.75,1.8,l,Dr Witt Multivitamins Metabolism Drink 1 Litre,20240413,food_cupboard,False
ASDA,11.5,11.5,unit,George Home White Pie Dish - Set of 3,20240413,food_cupboard,True
ASDA,10.0,133.3,l,Lugana Italian Wine,20240413,drinks,False
ASDA,3.0,3.0,unit,Disney Disney Pride Mug,20240413,drinks,False
Sains,4.5,14.2,kg,"Sainsbury's Spicy Chicken & Puttanesca Pasta Salad, Taste the Difference",20240413,fresh_food,True
Tesco,7.3,9.36,kg,Tesco Butter Basted Frozen Turkey Breast Joint 780G,20240413,frozen,True
ASDA,3.0,7.1,kg,Fray Bentos Minced Beef & Onion,20240413,food_cupboard,False
Sains,1.6,2.44,kg,Mr Brain's Pork Faggots x6 656g,20240413,frozen,False
ASDA,7.0,93.31,l,Black Tower Club Edition Pinot Noir Rosé Wine,20240413,drinks,False
Sains,0.95,4.75,kg,Sainsbury's Baby Cucumbers 200g,20240413,fresh_food,True
Morrisons,5.0,3.79,l,Kopparberg Winter Punch,20240413,drinks,False
Morrisons,2.0,14.3,kg,Whitworths Bake Chopped Apricots,20240412,food_cupboard,False
Sains,0.95,3.2,kg,Sainsbury's Shorties 300g,20240413,food_cupboard,True
Morrisons,21.0,27.93,l,Jim Barry Wines Single Vineyard Watervale Shiraz,20240405,drinks,False
Morrisons,11.0,11.0,unit,Morrisons Bloom Bouquet,20240201,fresh_food,True
Tesco,1.5,3.75,kg,Tesco Sausage And Mash 400G,20240413,frozen,True
Sains,5.0,2.84,l,Guinness Alcohol Free 0.0% Stout Beer Cans 4x440ml,20240413,drinks,False
Morrisons,7.0,9.31,l,Giesen Estate Sauvignon Blanc Wine,20240413,drinks,False
ASDA,1.5,3.3,kg,Light & Free Sticky Toffee Flavour Greek Style 0% Added Sugar Fat Free Yoghurt,20240413,fresh_food,False
ASDA,2.0,11.9,kg,ASDA Skip Jack Tuna Chunks in Spring Water 3 x 80g,20240223,drinks,True
Tesco,3.5,8.49,kg,Tesco Garlic & Herb Pork Loin Kievs 412G,20240412,fresh_food,True
Sains,1.45,1.5,kg,Sainsbury's Tomato Ketchup Sauce 970g,20240229,food_cupboard,True
ASDA,1.6,13.3,kg,Ambrosia Belgian Chocolate Mousse Pots,20240320,food_cupboard,False
Sains,2.3,4.2,kg,Sainsbury's Dry Roasted Peanuts 550g,20240413,food_cupboard,True
Morrisons,4.25,23.61,kg,Morrisons Seabass Fillets,20240413,frozen,True
Sains,1.95,15.6,kg,Seriously Spreadable Vintage Cheese 125g,20240413,fresh_food,False
Morrisons,1.75,8.8,kg,Nomadic Protein Pudding Vanilla,20240413,fresh_food,False
Sains,3.25,8.13,kg,Sainsbury's Beef Hotpot 400g (Serves 1),20240413,fresh_food,True
ASDA,1.0,37.0,kg,MyProtein Pop Roll Golden Caramel Flavour 27g,20240413,food_cupboard,False
Sains,4.75,131.9,kg,"Pukka Organic Ginger, Galangal & Golden Turmeric Tea Bags x20",20240413,food_cupboard,False
Sains,2.0,9.3,kg,Wall's Mini Savoury Eggs 216g,20240128,fresh_food,False
Tesco,3.0,18.75,kg,Planted Chicken Lemon & Herb 160g,20240413,fresh_food,False
Sains,1.7,2.3,l,Sainsbury's Reduced Fat Mayonnaise 730ml,20240413,food_cupboard,True
Morrisons,1.1,11.0,kg,Morrisons Grissini Mini Breadsticks,20240413,food_cupboard,True
Sains,2.4,13.3,kg,Sainsbury's Vanilla Cheesecake Slices 2x90g,20240413,fresh_food,True
Sains,2.5,5.6,kg,Bens Original Hot Chilli Con Carne Sauce 450g,20240413,food_cupboard,False
ASDA,5.75,4.36,l,Peroni Nastro Azzurro Lager Beer Bottle 4 Pack,20240413,drinks,False
ASDA,3.0,7.5,kg,ASDA British Half Fat Mature Cheddar 400g,20240413,fresh_food,True
ASDA,4.55,5.83,kg,Tahira Chicken & Beef Burgers Halal,20240413,frozen,False
Sains,2.1,2.8,kg,"Sainsbury's Whole Rolled Porridge Oats, Taste the Difference 750g",20240413,food_cupboard,True
Sains,10.5,0.11,unit,Nature's Bounty Gentle Iron Complex with Vitamins B12 and C Capsules x100,20240413,free-from,False
Sains,2.0,11.1,kg,Cadbury Dairy Milk Orange Chocolate Bar 180g,20240215,free-from,False
Sains,2.5,1.9,l,Aqua Libra Sparkling Water Infused with Cucumber Mint & Lime 4x330ml,20240413,drinks,False
ASDA,2.15,7.2,kg,"ASDA Extra Special Fig, Date, & Balsamic Chutney 300g",20240413,food_cupboard,True
ASDA,55.0,55.0,unit,George Home Black 4L Stand Mixer,20240413,food_cupboard,True
ASDA,1.3,1.88,kg,Tarantella Organic Tomato Passata,20240413,food_cupboard,False
Sains,1.2,1.6,l,Radnor Splash Apple & Raspberry Still Flavoured Spring Water 250ml,20240413,drinks,False
Morrisons,2.35,4.7,l,Potts Beef Stock Can,20240406,food_cupboard,False
Sains,13.0,17.29,l,Signé Bourgogne Montagny 75cl,20240413,drinks,False
ASDA,2.0,2.7,l,Innocent Pineapples Bananas & Coconuts Smoothie,20240413,drinks,False
Morrisons,7.0,9.31,l,Rosemount Diamond Selection Shiraz,20240413,drinks,False
Morrisons,1.25,7.58,kg,Philadelphia Lightest Low Fat Soft Cream Cheese,20240413,fresh_food,False
ASDA,0.8,4.4,kg,Jutrzenka Wafle Wafers with Cream Flavoured Cream,20240413,food_cupboard,False
Tesco,3.75,7.5,kg,Tesco Roast Chicken Dinner Pie 500g,20240413,fresh_food,True
Sains,1.35,2.7,kg,De Cecco Fusilli 500g,20240413,food_cupboard,False
ASDA,1.0,10.0,kg,Colman's Original English Mustard,20240321,food_cupboard,False
Sains,10.5,10.48,l,Sainsbury's Sweet Pale Cream Sherry 1L,20240413,drinks,True
Tesco,4.0,7.27,kg,Cathedral City Mild Cheddar 550G,20240413,fresh_food,False
Sains,1.5,1.5,unit,Sainsbury's Seeded White Bloomer 800g,20240413,bakery,True
Tesco,1.45,7.25,kg,Tesco Bombay Mix Snacks 200 G,20240413,food_cupboard,True
Sains,0.6,0.3,unit,Sainsbury's Fresh Packed Lemongrass Sticks x2,20240413,fresh_food,True
ASDA,2.5,3.1,kg,ASDA 8 Vitamin Boosting Peach & Apricot Yogurt Drinks,20240112,drinks,True
Sains,1.5,18.8,kg,Sainsbury's Garlic & Coriander Poppadoms 80g,20240413,food_cupboard,True
Morrisons,4.0,10.0,kg,Young's Chip Shop 4 Cod Fillets,20240413,frozen,False
Sains,2.0,32.3,kg,Battle Bites High Protein Bar Jaffa Bake Flavour 62g,20240413,free-from,False
Sains,7.5,9.4,kg,"Sainsbury's Orange & Prosecco Doc Panettone, Taste the Difference 800g",20240330,free-from,True
Tesco,1.2,10.9,kg,The Collective Brekkie Blueberry and Oat Kids Yoghurt Pouch 110g,20240413,fresh_food,False
ASDA,2.35,10.35,kg,ASDA Plant Based Spiced Bean Burgers,20240413,free-from,True
Morrisons,3.99,3.99,unit,Aqua Vape British Tobacco 6mg,20240319,drinks,False
Sains,3.3,9.43,kg,Sainsbury's British or Irish 10% Fat 20 Beef Mini Meatballs 350g,20240413,fresh_food,True
Tesco,3.25,10.8,l,Magnum Mint Ice Cream Sticks 3x100ml,20240413,frozen,False
ASDA,2.15,10.75,kg,Lurpak Slightly Salted Butter,20240413,food_cupboard,False
ASDA,2.0,57.0,kg,Schwartz Cloves Ground,20240413,food_cupboard,False
ASDA,5.2,2.6,l,Monster Energy Ultra Cans,20240413,drinks,False
Tesco,6.75,8.98,l,Kumala Reserve Shiraz 75Cl,20240413,drinks,False
Morrisons,1.25,32.0,kg,Old El Paso Chilli Con Carne Seasoning Mix,20240413,food_cupboard,False
Tesco,3.7,17.4,kg,John West Red Salmon 213G,20240412,food_cupboard,False
ASDA,1.5,4.4,kg,Skippy Extra Smooth Creamy Peanut Butter 340g,20240413,food_cupboard,False
ASDA,1.25,12.5,kg,Butterkist Cinema Sweet Popcorn,20240413,food_cupboard,False
Sains,4.0,16.0,kg,Sainsbury's Pure Canadian Maple Syrup 250g,20240413,food_cupboard,True
Morrisons,1.35,9.0,kg,Seabrooks Prawn Cocktail Crisps 6 Pack,20240413,food_cupboard,False
Sains,2.95,7.4,kg,Bio & Me Oats & Plenty Super Seedy & Nutty 400g,20240413,food_cupboard,False
Tesco,1.15,3.3,kg,Nishaan Chakki Roti 350G,20240413,food_cupboard,False
Sains,1.7,11.3,kg,Sainsbury's Milk Chocolate Rice Cakes 4x35.75g,20240413,food_cupboard,True
ASDA,3.25,8.12,kg,ASDA Meal For One Macaroni Cheese 400g,20240413,fresh_food,True
Sains,0.75,2.5,kg,Sainsbury's Beansprouts 300g,20240413,fresh_food,True
Morrisons,2.0,11.9,kg,Soreen Lift Bars Raspberry & Vanilla,20240413,bakery,False
Morrisons,10.75,10.8,kg,Shazans Mutton Shanks,20240413,food_cupboard,False
Sains,1.85,3.7,l,Monster Energy Drink 500ml,20240413,drinks,False
Morrisons,2.5,16.67,kg,Castello Danish Blue Cheese,20240413,fresh_food,False
Sains,1.6,9.1,kg,Whitworths Figs 175g,20240413,food_cupboard,False
Morrisons,3.25,1.63,unit,BFree Naan Breads Stone Baked Original,20240413,free-from,False
Tesco,14.0,18.62,l,Zuccardi Serie A Malbec 75Cl,20240413,drinks,False
Morrisons,4.99,7.74,kg,Chicago Town Takeaway Large Stu…,20240410,frozen,False
Morrisons,5.0,18.5,kg,Imperial Chicken Teriyaki Bao Buns,20240413,food_cupboard,False
Tesco,1.7,13.6,kg,Tesco 5 Pork & Egg Roll Slices 125g,20240413,fresh_food,True
Sains,1.0,20.0,kg,Blue Dragon Thai Green Curry Paste Pot 50g,20240413,food_cupboard,False
Tesco,0.62,1.6,kg,Tesco Broccoli And Stilton Soup 400G,20240413,food_cupboard,True
ASDA,7.5,7.5,unit,Sistema Flip Bottle,20240413,drinks,False
ASDA,2.25,2.25,kg,Tiger Tiger Sushi Rice,20240413,food_cupboard,True
Tesco,3.0,7.1,kg,Sharwoods Korma 30% Less Fat Cooking Sauce 420G,20240413,food_cupboard,False
ASDA,0.75,9.4,kg,Africa's Finest Coconut Chin-Chin,20240413,food_cupboard,False
Morrisons,1.89,3.78,kg,Morrisons Wholefoods Red Split Lentils,20240413,food_cupboard,True
Morrisons,2.75,25.0,kg,Nomo Creamy Buttons,20240413,free-from,False
Tesco,4.2,4.2,l,Ufc 100% Watermelon Drink 1L,20240413,food_cupboard,False
ASDA,3.0,7.3,kg,Kellogg's Krave Cookies & Cream Cereal,20240413,food_cupboard,False
Sains,2.5,3.1,kg,Actimel Multifruit Cultured Yogurt Drink 8x100g,20240413,drinks,False
Sains,2.25,15.0,kg,McCoy's Curry Sauce Flavour Ridge Cut Potato Crisps x6 25g,20240413,food_cupboard,False
Tesco,0.49,2.0,kg,Ms Molly's Chocolate Chip Cookies 250G,20240413,food_cupboard,True
ASDA,0.8,8.0,kg,ASDA Free From 13 Slightly Salted Rice Cakes,20240413,free-from,True
ASDA,1.2,3.0,kg,KTC Crispy Fried Onions 400g,20240413,food_cupboard,False
Morrisons,1.3,6.8,kg,Morrisons Pimiento-Stuffed Olives (340g),20240413,food_cupboard,True
Tesco,1.99,0.13,unit,Tesco 15 Eggs,20240412,fresh_food,True
ASDA,0.75,53.6,kg,Wrigley's Extra White Chewing Gum Sugar Free 10 Pieces,20240413,food_cupboard,False
ASDA,0.99,1.0,l,ASDA Pomegranate Juice Drink,20240413,drinks,True
ASDA,0.8,4.3,kg,ASDA Pink Wafers,20240413,food_cupboard,True
Tesco,2.7,6.1,l,Tesco Free From Toffee & Vanilla Cones 4X110ml,20240406,frozen,True
Sains,1.7,13.6,kg,"Sainsbury's Earl Grey Decaff Tea Bags, Taste the Difference x50",20240413,food_cupboard,True
ASDA,2.2,2.2,kg,Arla Skyr Natural Icelandic Style Yogurt,20240413,fresh_food,False
Morrisons,2.75,7.86,kg,Morrisons Takeaway Chinese Chicken Curry,20240413,frozen,True
Morrisons,1.49,2.5,kg,Morrisons Casserole Vegetables,20240413,fresh_food,True
ASDA,1.59,0.8,kg,ASDA Fluffy & Golden Baking Potatoes 2kg,20240413,fresh_food,True
ASDA,2.25,22.1,kg,Costa Creamy Cappuccino Sachets Drinks 6 x 17g (102g),20240413,drinks,False
Tesco,4.65,23.2,kg,Tesco Smoked Prosciutto & Salami Plat 200G,20240413,fresh_food,True
ASDA,0.99,1.0,l,ASDA Exotic Juice Drink,20240413,drinks,True
Sains,3.5,5.4,kg,"Alara Fruits & Seeds Muesli, Organic 650g",20240413,food_cupboard,False
ASDA,3.0,12.0,kg,Rana Chicken & Smoked Pancetta Fresh Tortelloni,20240413,fresh_food,False
Morrisons,1.0,2.6,kg,Cirio Lentils (380g),20240413,food_cupboard,False
Tesco,1.39,1.39,kg,Tesco Fusilli Whole Wheat Pasta 1Kg,20240413,food_cupboard,True
Morrisons,2.25,1.28,l,Morrisons Original Bitter Beer Cans 2.8%,20240413,drinks,True
Morrisons,1.0,4.1,kg,Oreo Sandwich Biscuits Snowy…,20240114,food_cupboard,False
Sains,2.85,14.25,kg,Cathedral City Lactose Free Mature Cheese 200g,20240413,fresh_food,False
ASDA,2.25,6.8,kg,Frubes Frubes Strawberry and Banana Flavour Yogurt Tubes,20240221,fresh_food,False
ASDA,1.35,8.44,kg,ASDA Extra Special Hand Picked Tenderstem Broccoli,20240413,fresh_food,True
Tesco,5.25,3.5,l,London Essence Original Indian Tonic Water 10X150ml,20240413,drinks,False
Morrisons,1.25,13.9,kg,Milkybar,20240216,food_cupboard,False
Tesco,1.0,56.0,kg,Tesco Italian Seasoning 18G ..,20240413,food_cupboard,True
Tesco,0.9,3.6,l,Tesco Seafood Sauce 250Ml,20240413,food_cupboard,True
Morrisons,8.99,12.0,l,Filippo Berio Olive Oil,20240413,food_cupboard,False
Morrisons,4.25,5.65,l,Myton Hill Rose,20240201,drinks,False
Sains,7.0,35.9,kg,Kenco Gold Indulgence Instant Coffee 195g,20240413,food_cupboard,False
Sains,3.0,7.5,kg,"Sainsbury's Grapes (Red or Black), SO Organic 400g",20240413,free-from,True
ASDA,3.0,15.8,kg,Marmite Oven Baked Peanuts,20240413,fresh_food,False
Sains,4.0,9.09,kg,Young's Breaded Cod Fillets x4 440g,20240413,fresh_food,False
Tesco,7.0,9.31,l,Jam Shed Australian Chardonnay 750Ml,20240413,drinks,False
Sains,4.5,2.3,l,Monster Energy Drink Ultra 4x500ml,20240413,food_cupboard,False
Sains,1.95,3.9,kg,Kellogg's Wheats Apricot Breakfast Cereal 500g,20240413,food_cupboard,False
Morrisons,1.45,3.2,kg,Morrisons Honey Skyr,20240413,fresh_food,True
Sains,0.65,16.3,kg,"Sainsbury's Chicken Casserole Recipe Mix, Inspired to Cook 40g",20240413,food_cupboard,True
Sains,1.65,15.0,kg,Cadbury Dairy Milk Orange Giant Buttons Chocolate Bag 110g,20240208,food_cupboard,False
ASDA,4.0,4.0,unit,George Home Sipper Bottle - Grey,20240201,drinks,True
Sains,1.5,4.2,kg,OaYeah! Feelgood Original Large Pancakes x6 360g,20240328,fresh_food,False
Sains,0.9,7.3,kg,Muller Corner Vanilla Yogurt With Chocolate Digestive Biscuits 124g,20240413,free-from,False
Tesco,1.8,12.0,l,Tesco Oyster Sauce 150Ml,20240413,food_cupboard,True
ASDA,13.0,1.64,l,Carlsberg Danish Pilsner 18 x 440ml,20240413,drinks,False
ASDA,1.2,0.3,unit,New York Bakery Co 4 Soft Seeded Bagel Thins,20240413,free-from,False
Sains,10.0,10.0,unit,Large Dianthus Ceramic,20240309,fresh_food,False
Sains,3.0,6.0,kg,Renourish Immunity Kale Spinach & Turmeric Soup 500g,20240413,free-from,False
Tesco,2.7,18.0,kg,Wasabi Spicy Korean Chicken Pops 150g,20240413,fresh_food,False
Sains,1.95,1.3,l,Sainsbury's No Added Sugar Fruit Slurps Orange Juice Drink 6 x 250ml,20240413,drinks,True
Morrisons,1.4,10.77,kg,Heinz Double Concen…,20240413,food_cupboard,False
Tesco,4.5,13.6,l,Magnum Mini White Chocolate & White Chocolate Almond Ice Cream Sticks 6x55ml,20240413,frozen,False
ASDA,4.3,10.6,kg,Benecol Blueberry,20240413,fresh_food,False
Morrisons,3.0,7.7,kg,Morrisons Stewed Steak,20240413,food_cupboard,True
Sains,9.0,0.15,unit,Vitabiotics Ultra Garlic 400mg Extract Tablets x60,20240413,free-from,False
Sains,6.0,3.41,l,Brooklyn Brewery Pilsner Crisp Lager x4 440ml,20240413,drinks,False
Sains,2.75,26.19,kg,This Isn't Streaky Bacon Plant Based Rashers 105g,20240413,free-from,False
ASDA,3.2,6.4,kg,ASDA Tomato & Pepperoni Pasta Salad,20240413,fresh_food,True
Tesco,1.35,6.1,kg,Tesco Baby Spinach 220G,20240413,fresh_food,True
Sains,3.0,7.89,kg,"Sainsbury's Mediterranean Vegetable Pasta Ready Meal For 1, Be Good To Yourself 380g",20240413,food_cupboard,True
ASDA,2.75,11.0,kg,Captain Cook Dry Salted Skinless & Boneless Salt Fish,20240413,fresh_food,False
Morrisons,1.0,5.0,kg,Cofresh London Mix,20240413,food_cupboard,False
Sains,1.7,18.89,kg,Sainsbury's Sun Dried Tomato Paste 90g,20240413,food_cupboard,True
Morrisons,6.0,13.2,kg,Cantu Shea Butter Leave-In Co…,20240413,food_cupboard,False
Sains,6.0,4.55,l,Lucky Saint Hazy IPA Alcohol Free Can 4x330ml,20240409,free-from,False
ASDA,0.75,11.4,kg,Ainsley Harriott Goan Spiced Chicken Cup Soup,20240413,food_cupboard,False
Morrisons,1.5,3.0,kg,Morrisons Trimmed Leeks,20240413,fresh_food,True
Sains,15.0,3.79,l,Brooklyn Brewery Brooklyn Pilsner Crisp Lager Beer 12x330ml,20240413,drinks,False
ASDA,0.58,1.5,kg,JUST ESSENTIALS by ASDA Custard,20240413,food_cupboard,True
Sains,1.75,1.8,l,"Sainsbury's High Juice Blackcurrant Squash, No Added Sugar 1L",20240413,drinks,True
Sains,4.0,4.0,l,Fever-Tree Sparkling Mexican Lime 4x250ml,20240413,drinks,False
Morrisons,8.0,10.64,l,Wolf Blass Red Label Shiraz Cabernet,20240413,drinks,False
ASDA,0.9,7.2,kg,ASDA Scottish Mackerel Fillets in Brine,20240413,food_cupboard,True
Tesco,19.0,38.0,l,Jägermeister Cold Brew Coffee Liqueur 50cl,20240121,drinks,False
Sains,2.6,6.63,kg,Grant's Premium Stewed Steak 392g,20240413,food_cupboard,False
Tesco,1.75,2.4,l,Shloer Winter Spiced Punch Sparkling 750Ml,20240309,drinks,False
ASDA,8.0,106.64,l,Greasy Fingers Luscious Red 750ml,20240413,drinks,False
Sains,0.95,6.3,kg,Ambrosia Devon Custard Pot 150g,20240413,food_cupboard,False
Sains,25.0,35.71,l,Bacardi Caribbean Spiced Premium Rum 70cl,20240413,drinks,False
Sains,1.5,0.38,unit,"Sainsbury's Fruity Hot Cross Buns, Taste the Difference x4 280g",20240413,bakery,True
Sains,2.75,12.8,kg,Maille Dijon Original Mustard 215g,20240413,food_cupboard,False
Tesco,4.75,3.6,l,Old Mout Berries & Cherries Flavoured Cider 4x330ml,20240412,drinks,False
Tesco,2.9,4.8,kg,Tesco Double Chocolate Gateau 600G,20240413,frozen,True
ASDA,3.75,18.75,kg,Whitby Seafoods Wholetail Scampi,20240413,frozen,False
Sains,1.3,10.0,kg,Sainsbury's Salt & Vinegar Corn & Rice Cakes 130g,20240413,food_cupboard,True
Morrisons,2.25,12.0,l,Blossom Hill White Wine,20240413,drinks,False
ASDA,3.2,11.03,kg,ASDA Extra Special 2 Cod Fishcakes with Roasted Tomato & Mozzarella,20240413,fresh_food,True
ASDA,4.5,22.5,kg,Options Vegan Belgian Hot Choc 200g,20240413,drinks,False
Tesco,1.1,24.4,kg,Mccoy's Epic Eats Nacho Cheese Crisps 45G,20240412,food_cupboard,False
ASDA,1.5,16.7,kg,Reese's Peanut Butter Bar 90g,20240413,food_cupboard,False
Tesco,0.7,15.6,kg,Cheezees Jalapeno 45G 45G,20240413,food_cupboard,False
Morrisons,5.25,13.13,kg,Morrisons All Day Breakfast,20240413,fresh_food,True
Morrisons,5.0,9.8,kg,Morrisons Slow Cooked Bourbon…,20240413,fresh_food,True
Morrisons,2.5,4.2,kg,Sweeties Jelly Mix,20240409,food_cupboard,False
Sains,2.5,3.97,l,Singha Premium Thai Lager 630ml,20240413,drinks,False
ASDA,7.25,96.64,l,ASDA Extra Special Côtes de Gascogne,20240306,drinks,True
Tesco,1.9,12.7,kg,Al'fez Falafel 150G,20240413,food_cupboard,False
Morrisons,0.89,0.4,l,Morrisons Cola Zero Sugar,20240413,drinks,True
Sains,2.0,2.0,unit,Sainsbury's Cantaloupe Melon,20240413,fresh_food,True
ASDA,4.0,37.0,kg,Tassimo Costa Americano Coffee Pods x 12,20240413,drinks,False
Tesco,3.1,20.7,l,Sharwoods Real Oyster Sauce 150Ml,20240330,food_cupboard,False
Morrisons,2.05,1.9,kg,McDougalls Self Raising Flour,20240413,food_cupboard,False
Sains,2.0,8.0,kg,Ben's Original One Pan Creations Spanish Paella Style 250g,20240413,food_cupboard,False
ASDA,6.0,6.0,l,TRIP CBD Infused Peach Ginger Cans,20240413,drinks,False
Tesco,0.45,8.2,kg,Tesco Instant Oats Cinnamon Porridge 55G,20240413,food_cupboard,True
Tesco,3.49,5.5,kg,Chicago Town Large Takeaway Cheese Pizza 630G,20240413,frozen,False
Morrisons,3.99,399.0,l,Vampire Vape Pinkman 6mg,20240413,drinks,False
Tesco,5.0,26.0,kg,Little Moons Refreshos Vegan Blood Orange & Pink Grapefruit Mochi Sorbet 6x32g,20240413,frozen,False
Sains,3.0,13.64,kg,VFC Original Recipe Crispy Popcorn Chicken 220g,20240413,free-from,False
Tesco,3.8,3.8,unit,Tesco Cinnamon Tear And Share Bun,20240413,bakery,True
ASDA,2.25,4.5,kg,ASDA Extra Special Fat Free Authentic Greek Yogurt,20240413,fresh_food,True
Tesco,4.0,6.1,kg,Kellogg's Rice Krispies Cereal 660G,20240413,food_cupboard,False
Morrisons,5.75,3.27,l,Thatchers Somerset Haze Cider Cans,20240412,drinks,False
Tesco,1.0,8.0,kg,Eastmans Wafer Thin Cooked Ham 125G,20240413,fresh_food,False
ASDA,40.0,57.14,l,Aberlour 12 Years Old Speyside Single Malt Scotch Whisky,20240413,drinks,False
ASDA,1.75,11.7,l,Blue Dragon Oyster Sauce,20240413,food_cupboard,False
ASDA,3.25,13.54,kg,ASDA Extra Special Oak Smoked Back Bacon Dry Cured 8 Rashers,20240413,fresh_food,True
ASDA,2.5,2.5,unit,George Home Cat Dad Single Mug,20240413,drinks,True
Morrisons,3.25,18.1,kg,Morrisons The Best 2 Smoked Salmon Verrines,20240218,fresh_food,True
Sains,2.0,33.3,l,Unrooted Good Gut Apple Cider Vinegar & Ginger Shot 60ml,20240413,drinks,False
Tesco,1.8,3.6,kg,Tesco Red Seedless Grapes 500G,20240413,fresh_food,True
Morrisons,1.89,4.73,kg,Morrisons Italian Sausage Pasta Bake,20240413,frozen,True
ASDA,24.0,319.92,l,Nicolas Feuillatte Champagne Sélection Brut,20240413,drinks,False
Morrisons,1.95,6.5,kg,Morrisons Free From Rice Pops,20240413,free-from,True
Sains,2.75,39.3,kg,Wrigley's Extra Cool Breeze 70g,20240413,food_cupboard,False
Tesco,22.0,22.0,l,Bailey's Original Irish Cream Liqueur Bottle 17% Vol 1L,20240413,drinks,False
Tesco,2.49,4.98,kg,Tesco Chicken Mince 5% Fat 500G,20240413,fresh_food,True
Tesco,3.75,9.4,kg,Tesco Finest Camembert Centred Quiche 400g,20240413,fresh_food,True
ASDA,0.45,4.5,kg,JUST ESSENTIALS by ASDA Dark Chocolate Sharing Bar,20240413,food_cupboard,True
Morrisons,1.0,14.3,kg,Fridge Raiders Hot & Spicy Chicken Bites,20240413,fresh_food,False
Sains,2.0,5.3,kg,Blue Dragon Mild Thai Sweet Chilli Sauce 380g,20240413,food_cupboard,False
Sains,4.25,18.89,kg,Sainsbury's British or Irish 21 Day Matured Ribeye Steak 225g,20240413,fresh_food,True
Tesco,2.85,2.85,unit,Tesco Pesto Chicken And Sundried Tomato Wrap,20240412,fresh_food,True
ASDA,1.45,6.4,kg,ASDA Snack Size Chocolate Nutty Bars 6 Pack,20240413,food_cupboard,True
Sains,3.0,6.3,l,"Sainsbury's Iced Coffee Ice Cream, Taste the Difference 480ml",20240413,free-from,True
Tesco,0.65,8.7,kg,Princes Tuna & Mayonnaise Paste 75G,20240413,food_cupboard,False
ASDA,2.5,11.01,kg,Birds Eye 4 Beef Burgers with Plant Protein and Onion 227g,20240413,frozen,False
Tesco,1.25,1.2,kg,Tesco Scottish Oats Porridge 1Kg,20240413,food_cupboard,True
Sains,2.5,1.2,l,"Vimto Sparkling, No Added Sugar 6x330ml",20240413,drinks,False
ASDA,1.25,0.25,unit,The BAKERY at ASDA 5 Milk Chocolate Chip Cookies,20240413,bakery,True
Tesco,3.3,13.2,l,Tesco Olive Oil 250Ml,20240413,food_cupboard,True
Sains,3.6,10.3,kg,Sainsbury's Bakewell Tart Dessert 350g,20240413,fresh_food,True
ASDA,2.95,11.8,kg,Belvita Breakfast Biscuits Soft Bakes Filled Strawberry 5pk,20240413,food_cupboard,False
Sains,3.15,53.0,kg,Sainsbury's Oregano 60g,20240413,food_cupboard,True
Morrisons,3.5,19.4,kg,Walnut Whip Milk Chocolate Multipack,20240116,food_cupboard,False
ASDA,2.5,7.14,kg,Wai Wai X-Press Instant Noodles Creamy Chicken Flavour 350g,20240413,food_cupboard,False
Sains,7.5,9.98,l,La Patrie Cahors Malbec 75cl,20240413,drinks,False
Sains,4.5,15.0,kg,"Sainsbury's Shawarma Chicken & Tabbouleh Salad, Summer Edition, Taste the Difference 300g",20240413,fresh_food,True
Tesco,3.0,21.4,kg,Pulsin High Fibre Brownie Hazelnut 4X35g,20240413,food_cupboard,False
Tesco,1.5,1.7,l,Lucozade Energy Caribbean Crush 900Ml,20240413,drinks,False
Tesco,2.9,4.14,l,Smirnoff Ice Tropical Ready To Drink Premix Bottle 70cl,20240209,drinks,False
ASDA,2.1,21.0,kg,ASDA Chopped Hazelnuts,20240413,food_cupboard,True
Morrisons,3.75,10.0,kg,Morrisons Butter Chicken & Pilau Rice,20240413,fresh_food,True
ASDA,2.5,2.5,unit,George Home Gold Tablecover,20240413,fresh_food,True
ASDA,1.3,12.5,kg,Naked Big Eat Noodle Thai Style Fiery Chicken Panang,20240413,food_cupboard,False
Sains,1.15,3.83,kg,"Sainsbury's Broccoli, SO Organic 300g",20240413,free-from,True
Sains,1.5,16.7,kg,Proper Corn Sweet Cinnamon Popcorn 90g,20240411,free-from,False
Morrisons,1.09,13.6,kg,Morrisons Italian Style Salad,20240413,fresh_food,True
Morrisons,1.5,0.7,l,Sprite No Sugar,20240404,drinks,False
Tesco,3.0,18.8,kg,Tesco Sweet Chilli Roast Chicken Slices 160g,20240412,fresh_food,True
ASDA,2.0,12.5,kg,Fox's Fabulous Indulgent Centre Cookies Triple Chocolate,20240413,food_cupboard,False
Tesco,2.5,7.81,kg,Weight Watchers Salmon & Broccoli Melt 320G,20240413,frozen,False
Morrisons,0.99,4.9,kg,Mars Large Egg,20240413,food_cupboard,False
Tesco,3.25,1.1,l,Tesco Apple/Blackcurrant Juice (No Added Sugar) 12X250ml,20240413,drinks,True
Sains,2.5,9.09,l,Bottlegreen Elderflower Vodka Spritz 250ml,20240413,drinks,False
ASDA,10.0,2.84,l,Guinness Draught Stout Beer 8 x Can (food pack),20240413,drinks,False
ASDA,2.0,7.4,kg,ASDA Hedgehog Biscuit Kit 270g,20240413,food_cupboard,True
Tesco,1.45,29.6,kg,Tic Tac Fresh Mint 49G,20240413,food_cupboard,False
