supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
ASDA,2.0,18.2,kg,Eat Real Hummus Chips Tomato + Basil Flavour 110g,20240331,food_cupboard,False
Tesco,2.25,26.5,kg,Popworks Sweet Chipotle Chilli Sharing Bag Popped Crisps 85g,20240409,food_cupboard,False
Sains,3.0,16.7,kg,Rhokett Chocolate & Caramel Cheesecake Slices 180g,20240209,free-from,False
ASDA,0.75,10.0,kg,Ainsley Harriott Cream of Wild Mushroom Cup Soup,20240413,food_cupboard,False
Morrisons,2.0,8.93,kg,Birds Eye 8 Battered Fish Fingers,20240413,frozen,False
Tesco,8.25,6.25,l,Beavertown Neck Oil Session Ipa 4X330ml,20240413,drinks,False
ASDA,2.0,8.0,kg,Merchant Gourmet Smoky Spanish-Style Grains & Rice,20240413,food_cupboard,False
Morrisons,1.29,5.6,kg,Morrisons Everyday Tea Bags 80 Pack,20240413,food_cupboard,True
Morrisons,2.0,5.0,l,Amoy Rich Coconut Milk,20240413,food_cupboard,False
Sains,4.0,10.0,kg,Cadbury Dairy Milk Caramel Chocolate Brownie 400g,20240221,frozen,False
ASDA,4.0,3.03,l,Kopparberg Premium Cider with Strawberry & Pineapple 4 x 330ml,20240413,drinks,False
ASDA,2.5,1.43,kg,Indus Chana Dal,20240201,food_cupboard,False
ASDA,1.49,16.0,kg,Batchelors Cup a Soup Tomato Soup 4 Instant Soup Sachets,20240413,food_cupboard,False
ASDA,3.5,7.5,kg,Nando's Perinaise Garlic Peri-Peri Mayonnaise,20240413,food_cupboard,False
Morrisons,2.85,14.25,kg,Violife Original Flavour Grated V…,20240413,free-from,False
Tesco,2.75,9.17,kg,Quorn Biryani Bowl 300G,20240413,fresh_food,False
Tesco,2.2,7.2,kg,Pukka 2 Chicken Bakes 306g,20240413,frozen,False
ASDA,0.7,14.0,kg,Grace Coconut Milk Powder,20240413,food_cupboard,False
Sains,3.35,9.9,kg,"Sainsbury's Set Honey, SO Organic 340g",20240413,food_cupboard,True
Morrisons,4.95,22.5,kg,Morrisons Boneless Atlantic Salmon Portions Twin Pack,20240118,frozen,True
Sains,1.5,1.5,l,Sainsbury's Vanilla Flavour Ice Cream 1L,20240413,free-from,True
ASDA,2.5,6.2,l,Blue Dragon Coconut Milk,20240413,free-from,False
Sains,2.0,7.7,kg,Nando’s Peri-Peri Marinade Lemon and Herb Extra Mild 260g,20240413,food_cupboard,False
