cluster_id,supermarkets,product_names,unit_value,unit_type,category,tier,is_known_brand,known_brand,price_min,price_max,price_mean,product_count,supermarket_count,price_range
16976,"ASDA,Sains,Tesco","['Breakaway Milk Chocolate Biscuit Bar', 'Yorkie Raisin & Biscuit Chocolate Duo Bar', 'Pick Up! Choco & Milk Chocolate Biscuit Bars']",-1.0,none,food_cupboard,none,False,none,1.1,1.5,1.2833333333333334,3,3,0.3999999999999999
16977,"ASDA,Morrisons","['Elkes Bunch of Biccies Custard Cream, Malted Milk & Shortcake Biscuit', 'Elkes Bunch Of Biccies']",550.0,g,food_cupboard,none,False,none,0.75,1.5,1.125,2,2,0.75
16978,"ASDA,Tesco","['Aero Melts Caramel Chocolate Sharing Bag', 'Jim Jams Salted Caramel Dark Chocolate Spread']",-1.0,none,food_cupboard,none,False,none,1.5,2.8,2.15,2,2,1.2999999999999998
16979,"ASDA,Tesco","['Munchies Gold Caramel Chocolate Sharing Bag', 'Munchies Milk Chocolate & Caramel Tube']",-1.0,none,food_cupboard,none,False,none,0.65,1.5,1.075,2,2,0.85
16980,"ASDA,Morrisons,Sains,Tesco","['Yorkie Milk Chocolate Biscuit Bar', 'Yorkie Raisin & Biscuit Chocola…', 'Rhythm 108 Vegan Hazelnut Chocolate Praline Biscuit Share Bag', ""Reese's Peanut Butter Milk Chocolate Bar""]",-1.0,none,food_cupboard,none,False,none,1.25,2.5,1.6625,4,4,1.25
16981,"ASDA,Morrisons,Tesco","['Rocky Road Easter Egg', 'Moo Free Rocky Road Egg', 'Moo Free Rocky Road Easter Egg']",170.0,g,food_cupboard,standard,False,none,4.5,5.0,4.666666666666667,3,3,0.5
16982,"ASDA,Sains","['LU Le Petit Beurre Biscuits', 'LU Le Petit Biscotte Crunchy Cinnamon & Brown Sugar Biscuits']",-1.0,none,food_cupboard,none,False,none,1.25,1.25,1.25,2,2,0.0
16983,"ASDA,Morrisons,Sains,Tesco","['Plain Chocolate', 'Askeys Treat Chocolate Flavour Topping', 'Ovaltine Malted Drink, Chocolate, Light', 'Mieszko Pralines Michaszki Original Peanut Chocolate']",-1.0,none,food_cupboard,standard,False,none,1.1,3.5,1.925,4,4,2.4
16984,"ASDA,Sains","['Indus Whole Cashews', 'Cashews']",-1.0,none,food_cupboard,none,False,none,0.7,6.5,3.6,2,2,5.8
16985,"ASDA,Sains",['Runny Honey'],-1.0,none,food_cupboard,standard,False,none,1.47,2.3,1.8849999999999998,2,2,0.8299999999999998
