idx_a,idx_b,retailer_a,retailer_b,name_a,name_b,similarity,size_ratio,category
10836,25988,ASDA,Morrisons,JUST ESSENTIALS by ASDA 6 Wholemeal Rolls,Morrisons Wholemeal Rolls,0.99,,bakery
10836,25991,ASDA,Morrisons,JUST ESSENTIALS by ASDA 6 Wholemeal Rolls,Morrisons The Best Wholemeal Rolls,0.99,,bakery
25970,50262,Morrisons,Tesco,Morrisons The Best Brioche Buns,Tesco 4 Brioche Buns,0.99,,bakery
10971,26120,ASDA,Morrisons,Mr Kipling 6 Chocolate Slices,Mr Kipling Chocolate Slices,0.99,,bakery
28574,49910,Morrisons,Tesco,Morrisons The Best Baking Potatoes,Tesco 4 Baking Potatoes,0.989,,fresh_food
29404,49880,Morrisons,Tesco,Morrisons Hot Cross Buns,Tesco 6 Hot Cross Buns,0.988,,bakery
6376,29177,ASDA,Morrisons,JUST ESSENTIALS by ASDA 3 Strawberry Cheesecakes,Morrisons Strawberry Cheesecakes,0.986,1.111,fresh_food
8333,37110,ASDA,Sains,Nando's Flavour Shaker Garlic & Herb Medium Peri-Peri Seasoning,Nando's Flavour Shaker Garlic & Herb Medium Peri Peri Seasoning 50g,0.986,1.112,food_cupboard
13198,20753,ASDA,Morrisons,ASDA Extra Special 8 Meringue Nests,Morrisons Meringue Nests,0.984,,food_cupboard
13198,50316,ASDA,Tesco,ASDA Extra Special 8 Meringue Nests,Tesco Finest Meringue Nests 8S,0.984,,food_cupboard
30804,48550,Morrisons,Sains,Morrisons Dozen Red Roses,A Dozen Red Roses,0.984,,fresh_food
13198,22368,ASDA,Morrisons,ASDA Extra Special 8 Meringue Nests,Morrisons The Best Meringue Nests,0.984,,food_cupboard
15514,29029,ASDA,Morrisons,ASDA Extra Special 3 Nectarines,Morrisons Nectarines,0.984,,fresh_food
22368,58785,Morrisons,Tesco,Morrisons The Best Meringue Nests,Tesco 8 Meringue Nests,0.984,,food_cupboard
20753,58785,Morrisons,Tesco,Morrisons Meringue Nests,Tesco 8 Meringue Nests,0.984,,food_cupboard
13215,20753,ASDA,Morrisons,ASDA 8 Meringue Nests,Morrisons Meringue Nests,0.984,,food_cupboard
13215,22368,ASDA,Morrisons,ASDA 8 Meringue Nests,Morrisons The Best Meringue Nests,0.984,,food_cupboard
13215,50316,ASDA,Tesco,ASDA 8 Meringue Nests,Tesco Finest Meringue Nests 8S,0.984,,food_cupboard
10753,25921,ASDA,Morrisons,McVitie's Toasting Waffles Chocolate Flavour 8 Pack,McVitie's 8 Toasting Waffles Chocolate Flavour,0.983,,bakery
45174,64104,Sains,Tesco,Sainsbury's Southern Fried Chicken Wrap,Tesco Southern Fried Chicken Wrap (C),0.983,,fresh_food
36584,62751,Sains,Tesco,The Spice Tailor Indonesian Peanut Satay Sauce Kit 275g,The Spice Tailor Indonesian Peanut Satay Sauce 275G,0.983,1.0,food_cupboard
10426,46543,ASDA,Sains,Mr Kipling 6 Bramley Apple & Blackcurrant Pies,Mr Kipling Bramley Apple & Blackcurrant Pies x6,0.983,,bakery
31152,64104,Morrisons,Tesco,Morrisons Southern Fried Chicken Wrap,Tesco Southern Fried Chicken Wrap (C),0.983,,fresh_food
10983,48333,ASDA,Sains,Mr Kipling Apple & Blackcurrant Pies,Mr Kipling Apple & Blackcurrant Pies x6,0.982,,bakery
26072,48333,Morrisons,Sains,Mr Kipling Apple & Blackcurrant Pies,Mr Kipling Apple & Blackcurrant Pies x6,0.982,,bakery
35942,63317,Sains,Tesco,Betty Crocker Chocolate Chunk Muffin Mix Kit 335g,Betty Crocker Chocolate Chunk Muffin Mix 335G,0.979,1.0,food_cupboard
2311,54132,ASDA,Tesco,Dr. Oetker Number Six Candle,Dr. Oetker Number 8 Candle,0.978,,food_cupboard
30689,50122,Morrisons,Tesco,Mr Kipling Salted Caramel 10 Gooey Brownie Bites,Mr Kipling Gooey Brownie Bites Salted Caramel 10 Pack,0.977,,bakery
31156,64084,Morrisons,Tesco,Morrisons Chicken Caesar Wrap,Tesco Chicken Caesar Wrap (C),0.977,,fresh_food
48638,64467,Sains,Tesco,Ben & Jerry's Minter Wonderland Ice Cream 465ml,Ben & Jerry's Minter Wonderland Mint Ice Cream 465Ml,0.977,1.0,frozen
10427,25971,ASDA,Morrisons,JUST ESSENTIALS by ASDA 6 White Rolls,Morrisons The Best White Rolls,0.977,,bakery
2311,54131,ASDA,Tesco,Dr. Oetker Number Six Candle,Dr. Oetker Number 7 Candle,0.975,,food_cupboard
10981,48306,ASDA,Sains,Mr Kipling Bramley Apple Pies,Mr Kipling Bramley Apple Pies x6,0.975,,bakery
10341,26080,ASDA,Morrisons,Mr Kipling Almond Cake Slices,Mr Kipling Almond Slices,0.974,,bakery
4089,28413,ASDA,Morrisons,ASDA Extra Special 4 Apples,Morrisons Apples,0.973,,fresh_food
10341,46489,ASDA,Sains,Mr Kipling Almond Cake Slices,Mr Kipling Almond Cake Slices x6,0.972,,bakery
26035,46478,Morrisons,Sains,Morrisons Sultana Scones,Sainsbury's Sultana Scones x6,0.972,,bakery
10870,59889,ASDA,Tesco,ASDA Free From Victoria Sponge Cakes,Tesco Finest Free From Victoria Sponge Cake,0.972,,bakery
26107,50789,Morrisons,Tesco,Soreen Malt Lunchbox Loaves,Soreen Malt Lunchbox Loaves 5 Pack,0.971,,bakery
2311,54124,ASDA,Tesco,Dr. Oetker Number Six Candle,Dr. Oetker Number 0 Candle,0.971,,food_cupboard
8942,35065,ASDA,Sains,Colman's Cheddar Cheese Sauce Mix,Colman's Sauce Mix Cheddar Cheese 40g,0.97,1.0,food_cupboard
10983,51514,ASDA,Tesco,Mr Kipling Apple & Blackcurrant Pies,Mr Kipling Apple & Blackcurrant Pies 6 Pack,0.969,,bakery
26072,51514,Morrisons,Tesco,Mr Kipling Apple & Blackcurrant Pies,Mr Kipling Apple & Blackcurrant Pies 6 Pack,0.969,,bakery
8552,38072,ASDA,Sains,Oxo Hickory Smoked Chipotle Seasoning Rub,Oxo Hickory Smoked Chipotle Seasoning Rub 35g,0.969,1.143,food_cupboard
13971,18062,ASDA,Morrisons,Indus Spice Mix Chicken Tikka,Indus Chicken Tikka Spice,0.968,1.0,food_cupboard
6500,44425,ASDA,Sains,Bernard Matthews Turkey Breast Slices,Bernard Matthews Turkey Breast Slices 120g,0.967,1.2,fresh_food
16860,64525,ASDA,Tesco,Kopparberg Premium Cider Winter Punch 10 x 330ml,Kopparberg Premium Cider Winter Punch 12 x 330ml,0.967,1.2,drinks
10974,26044,ASDA,Morrisons,Mr Kipling French Fancies Cakes,Mr Kipling French Fancies,0.967,,bakery
10968,51643,ASDA,Tesco,ASDA Free From 5 Lemon Cake Slices,Tesco Free From 5 Lemon Slices,0.966,,bakery
43396,51633,Sains,Tesco,Sainsbury's Sweet Gem Lettuce x2,Tesco Sweet Gem Lettuce,0.966,,fresh_food
902,28641,ASDA,Morrisons,ASDA Organic Organic Spring Onions,Morrisons Organic Spring Onions,0.966,,fresh_food
28600,43396,Morrisons,Sains,Morrisons The Best Sweet Gem Lettuce,Sainsbury's Sweet Gem Lettuce x2,0.966,,fresh_food
10960,26120,ASDA,Morrisons,Mr Kipling Chocolate Cake Slices,Mr Kipling Chocolate Slices,0.966,,bakery
21981,49419,Morrisons,Tesco,McVitie's The Original Jaffa Cakes Triple Pack,Mcvitie's The Original Jaffa Cakes Triple Pack 33 Cakes,0.966,,food_cupboard
13191,50790,ASDA,Tesco,Carousel 6 Nougat Wafers,Carousel Nougat Wafers 6 Pack,0.965,,food_cupboard
