ensemble_cluster_id,cluster_size,conflict_type,conflict_token,retailer_a,retailer_b,name_a,name_b
2629,4,one_sided,rose,Morrisons,Sains,Mud House Chile Rose,Southlands Cool Climate Sauvignon Blanc Rosé 75cl
2629,4,one_sided,rose,Sains,Tesco,Southlands Cool Climate Sauvignon Blanc Rosé 75cl,Mud House Chile Sauvignon Blanc Rose 750Ml
2651,4,one_sided,rose,ASDA,Sains,Studio by Miraval Mediterranean Rose Wine,Studio by Miraval Rosé 750ml
2651,4,one_sided,rose,Morrisons,Sains,Studio By Miraval Rose,Studio by Miraval Rosé 750ml
2651,4,one_sided,rose,Sains,Tesco,Studio by Miraval Rosé 750ml,Studio By Miraval Mediterranean Rose Wine 750Ml
2652,4,one_sided,rose,ASDA,Morrisons,Gallo Family Vineyards Summer Rosé,Gallo Family Vineyards Summer Rose Wine
2652,4,one_sided,rose,ASDA,Sains,Gallo Family Vineyards Summer Rosé,Gallo Family Vineyards Summer Rose Wine 75cl
2652,4,one_sided,rose,ASDA,Tesco,Gallo Family Vineyards Summer Rosé,Gallo Family Vineyards Summer Rose 75 Cl
2654,4,one_sided,rose,ASDA,Morrisons,Wise Wolf Rosé,Mucho Mas Rose
2654,4,one_sided,rose,ASDA,Sains,Wise Wolf Rosé,Wise Wolf Rose 75cl
2654,4,one_sided,rose,ASDA,Tesco,Wise Wolf Rosé,Eisberg Rose 75Cl Alcohol Free
2665,4,one_sided,rose,ASDA,Morrisons,Freixenet Italian Rosé,Freixenet Italian Rose
2665,4,one_sided,rose,ASDA,Sains,Freixenet Italian Rosé,Freixenet Italian Still Rose 75cl
2665,4,one_sided,rose,ASDA,Tesco,Freixenet Italian Rosé,Freixenet Italian Rose 75Cl.
2671,4,one_sided,rose,ASDA,Morrisons,Barefoot Rosé 750ml,Barefoot Pink Moscato Rose Wine
2671,4,one_sided,rose,ASDA,Tesco,Barefoot Rosé 750ml,Pepperbox Rose Wine 750Ml
2671,4,one_sided,rose,Morrisons,Sains,Barefoot Pink Moscato Rose Wine,Barefoot Pink Moscato Rosé Wine 75cl
2671,4,one_sided,rose,Sains,Tesco,Barefoot Pink Moscato Rosé Wine 75cl,Pepperbox Rose Wine 750Ml
2675,4,one_sided,rose,ASDA,Morrisons,Gary Barlow Organic Rosé Wine,Gary Barlow Organic Rose
