ensemble_cluster_id,supermarket,names,prices_(£),unit_value,unit_type,tier_keyword,own_brand,category
8618,ASDA,Ambrosia Dessert Pots Belgian Chocolate & Mint Fondant Sauce,1.0,220.0,g,,False,food_cupboard
8618,Morrisons,Ambrosia Dessert Pot Chocolate & Mint,1.59,220.0,g,,False,fresh_food
8618,Sains,Ambrosia Ready To Eat Belgian Chocolate & Mint Fondant Sauce Dessert Pots 2x110g,1.0,220.0,g,,False,food_cupboard
8618,Tesco,Ambrosia Chocolate & Mint Fondant Sauce Dessert Pots 2X110g,1.6,220.0,g,,False,food_cupboard
8688,Morrisons,Heinz Spaghetti in Tomato Sauce,0.9,200.0,g,,False,food_cupboard
8688,Sains,Heinz Spaghetti In Tomato Sauce 200g,0.8,200.0,g,,False,food_cupboard
8688,Tesco,Heinz Spaghetti In Tomato Sauce 200G,0.85,200.0,g,,False,food_cupboard
9004,Morrisons,Walkers 45% Less Salt Salted Crisps,1.0,45.0,g,,False,food_cupboard
9004,Sains,Walkers Less Salt Lightly Salted Crisps 45g,1.0,45.0,g,,False,food_cupboard
9004,Tesco,Walkers Lightly Salted Less Salt Grab Bag Crisps 45g,1.0,45.0,g,,False,food_cupboard
9067,Morrisons,Morrisons Choco Nut Pillows Cereal,1.15,375.0,g,,True,food_cupboard
9067,Tesco,Tesco Pillows Choco-Nut Cereal 375G,0.99,375.0,g,,True,food_cupboard
9163,Morrisons,Cadbury Original Drinking Hot Chocolate,2.85,250.0,g,,False,food_cupboard
9163,Sains,Cadbury Drinking Hot Chocolate 250g,2.7,250.0,g,,False,food_cupboard
9373,Morrisons,Heinz Minestrone Cup Soup,1.49,72.0,g,,False,food_cupboard
9373,Sains,Heinz Minestrone Cup Packet Soup 4x18g,1.5,72.0,g,,False,food_cupboard
9454,Morrisons,Morrisons Organic Plain Flour,1.55,1033.3,g,Organic,True,food_cupboard
9454,Tesco,Tesco Organic Plain Flour 1Kg,1.4,1000.0,g,Organic,True,food_cupboard
9971,ASDA,Brooklyn Pilsner Crisp Lager Beer Bottle,2.5,650.0,ml,,False,drinks
9971,Morrisons,Brooklyn Brewery Pilsner Beer Bottle,2.5,650.0,ml,,False,drinks
9971,Sains,Brooklyn Brewery Brooklyn Pilsner Crisp Lager Beer 660ml,2.35,660.0,ml,,False,drinks
9971,Tesco,Brooklyn Pilsner Lager Beer Bottle 660ml,2.35,660.0,ml,,False,drinks
10290,Morrisons,Morrisons Stir Fry Vegetables,1.69,500.0,g,,True,frozen
