cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score
46,34,Sains,"Sainsbury's Raw Large Canadian Scallops MSC, Taste the Difference 150g",free-from,,True,standard,150.0,g,,"Raw Large Canadian Scallops MSC, Taste the Difference",raw large canadian scallops msc taste the difference,7.0,46.67,own_brand,1,1,own_brand,
47,35,Morrisons,Haribo Tangfastics 11 Mini…,food_cupboard,Haribo,False,,176.5,g,,Tangfastics 11 Mini…,tangfastics 11 mini,1.8,10.2,branded,1,1,branded,
48,36,Sains,Snickers Creamy Peanut Butter & Milk Chocolate Snack Bars Multipack 182g,food_cupboard,Snickers,False,,182.5,g,182.0,Creamy Peanut Butter and Milk Chocolate Snack Bars g,creamy peanut butter and milk chocolate snack bars g,2.5,13.7,branded,1,1,branded,
49,37,Sains,Cadbury Dairy Milk Daim Chocolate Dessert 75g,fresh_food,Cadbury,False,,75.0,g,,Dairy Milk Daim Chocolate Dessert,dairy milk daim chocolate dessert,1.15,15.3,branded,1,1,branded,
50,38,Tesco,Tesco Plant Chef Coleslaw 250G,fresh_food,,True,dietary,250.0,g,,Coleslaw,coleslaw,1.05,4.2,own_brand,1,1,own_brand,
51,39,Sains,"Sainsbury's New York Vanilla Cheesecake Slices, Taste the Difference 2x92g",free-from,,True,standard,184.0,g,2.0,"New York Vanilla Cheesecake Slices, Taste the Difference",new york vanilla cheesecake slices taste the difference,3.35,18.2,own_brand,1,1,own_brand,
52,40,Sains,Sainsbury's Fresh Soured Cream 150ml,fresh_food,,True,standard,150.0,ml,,Fresh Soured Cream,fresh soured cream,0.75,5.0,own_brand,1,1,own_brand,
53,41,Sains,Chicken Tonight Honey & Mustard 500g,food_cupboard,Chicken Tonight,False,,500.0,g,,Honey and Mustard,honey and mustard,1.75,3.5,branded,1,1,branded,
54,43,Tesco,Fox's Milk Chocolate Cookies 180G,food_cupboard,Fox'S,False,,180.0,g,,Milk Chocolate Cookies,milk chocolate cookies,2.0,11.1,branded,1,1,branded,
55,44,Tesco,Alpro Double Chocolate Dairy Free Vegan Soya Dessert 2x70g,fresh_food,Alpro,False,,140.0,g,2.0,Double Chocolate Soya Dessert,double chocolate soya dessert,2.2,15.7,branded,1,1,branded,
56,45,ASDA,ASDA Goat's Cheese,fresh_food,,True,standard,100.0,g,,Goat's Cheese,goat s cheese,2.2,22.0,own_brand,1,1,own_brand,
57,46,Sains,Lindt Lindor Strawberries & Cream Chocolate Truffles Box 200g,food_cupboard,Lindt,False,,200.0,g,,Lindor Strawberries and Cream Chocolate Truffles Box,lindor strawberries and cream chocolate truffles box,6.3,31.5,branded,1,1,branded,
58,47,Morrisons,PG Tips Original 80 Tea Bags,food_cupboard,Pg Tips,False,,231.8,g,80.0,Original,original,2.99,12.9,branded,1,1,branded,
59,48,Sains,Pommery Champagne Brut Royal 750ml,drinks,,False,,750.0,ml,,Pommery Champagne Brut Royal,pommery champagne brut royal,45.0,59.85,unbranded,1,1,unbranded,
60,49,Sains,The Natural Confectionery Company Jelly Snakes Sweets Bag 130g,food_cupboard,,False,,130.0,g,,The Natural Confectionery Company Jelly Snakes Sweets Bag,the natural confectionery company jelly snakes sweets bag,1.35,10.4,unbranded,1,1,unbranded,
61,50,ASDA,JUST ESSENTIALS by ASDA Wafer Thin Cooked Ham Slices,fresh_food,,True,value,398.0,g,,Wafer Thin Cooked Ham Slices,wafer thin cooked ham slices,1.95,4.9,own_brand,1,1,own_brand,
62,51,Morrisons,Carlton Original Cigarettes Multipack,drinks,,False,,,,,Carlton Original Cigarettes Multipack,carlton original cigarettes multipack,63.5,0.64,unbranded,1,1,unbranded,
63,52,ASDA,Birds Eye Steam Fresh Mediterranean Pasta with Veg & Tomato Sauce 400g,frozen,Birds Eye,False,,400.0,g,,Steam Fresh Mediterranean Pasta with Veg and Tomato Sauce,steam fresh mediterranean pasta with veg and tomato sauce,2.6,6.5,branded,1,1,branded,
64,54,Sains,"Old Jamaica Ginger Beer, Diet 1.5L",drinks,Old Jamaica,False,,1500.0,ml,,"Ginger Beer, Diet",ginger beer diet,2.0,1.3,branded,1,1,branded,
65,55,Sains,"Sainsbury's Chardonnay, Taste the Difference 75cl",drinks,,True,standard,750.0,ml,,"Chardonnay, Taste the Difference",chardonnay taste the difference,10.5,13.96,own_brand,1,1,own_brand,
66,56,Tesco,Marmite Yeast Extract Spread 125G,food_cupboard,Marmite,False,,125.0,g,,Yeast Extract Spread,yeast extract spread,2.0,16.0,branded,1,1,branded,
67,57,Morrisons,Skinny Whip Chocolate Orange,food_cupboard,Skinny Whip,False,,500.0,g,,Chocolate Orange,chocolate orange,1.0,2.0,branded,1,1,branded,
68,58,Tesco,Grace Pumpkin Soup Mix 50G,food_cupboard,Grace,False,,50.0,g,,Pumpkin Soup Mix,pumpkin soup mix,0.75,15.0,branded,1,1,branded,
69,59,Tesco,Tesco Scotch Bonnet Chillies 50G,fresh_food,,True,standard,50.0,g,,Scotch Bonnet Chillies,scotch bonnet chillies,0.9,18.0,own_brand,1,1,own_brand,
70,60,Tesco,Roses Lemon & Lime Marmalade 454G,food_cupboard,Roses,False,,454.0,g,,Lemon and Lime Marmalade,lemon and lime marmalade,1.99,4.4,branded,1,1,branded,
71,61,ASDA,ASDA Free From 5 Brownie Slices,bakery,,True,dietary,147.9,g,,5 Brownie Slices,5 brownie slices,2.5,16.9,own_brand,1,1,own_brand,
72,62,Tesco,Tesco Honey Roast Salmon Flakes 80G,fresh_food,,True,standard,80.0,g,,Honey Roast Salmon Flakes,honey roast salmon flakes,3.25,40.6,own_brand,1,1,own_brand,
73,63,Sains,Higgidy Steak & Ale Pie 250g,fresh_food,Higgidy,False,,250.0,g,,Steak and Ale Pie,steak and ale pie,3.5,14.0,branded,1,1,branded,
74,64,Tesco,Tesco 3 Caramel Millionaires Ice Cream 270Ml,frozen,,True,standard,270.0,ml,,3 Caramel Millionaires Ice Cream,3 caramel millionaires ice cream,2.0,7.4,own_brand,1,1,own_brand,
75,65,Sains,Nestle Pure Life Still Spring Water 12x500ml,drinks,Nestle,False,,6000.0,ml,12.0,Pure Life Still Spring Water,pure life still spring water,2.5,0.4,branded,1,1,branded,
76,66,Tesco,Tesco 4 Chicken & Bacon Pies 568G,frozen,,True,standard,568.0,g,,4 Chicken and Bacon Pies,4 chicken and bacon pies,2.75,4.8,own_brand,1,1,own_brand,
77,67,Sains,Kubus Go Strawberry-Banana 300ml,food_cupboard,Kubus,False,,300.0,ml,,Go Strawberry-Banana,go strawberry banana,0.8,2.7,branded,1,1,branded,
78,68,ASDA,Schwartz Somerset Pork Casserole Recipe Mix,food_cupboard,Schwartz,False,,36.0,g,,Somerset Pork Casserole Recipe Mix,somerset pork casserole recipe mix,0.95,26.4,branded,1,1,branded,
79,69,Sains,Yeo Valley Organic Kefir Strawberry Yogurt 350g,free-from,Yeo Valley,False,,350.0,g,,Kefir Strawberry Yogurt,kefir strawberry yogurt,2.0,5.7,branded,1,1,branded,
80,70,Morrisons,Morrisons Puff Pastry Block,fresh_food,,True,standard,430.0,g,,Puff Pastry Block,puff pastry block,1.29,3.0,own_brand,1,1,own_brand,
81,71,Morrisons,Morrisons 4 Garlic & Herb Chicken Kievs,frozen,,True,standard,500.0,g,,4 Garlic and Herb Chicken Kievs,4 garlic and herb chicken kievs,4.0,8.0,own_brand,1,1,own_brand,
82,72,ASDA,JUST ESSENTIALS by ASDA Batter Mix,food_cupboard,,True,value,125.0,g,,Batter Mix,batter mix,0.35,2.8,own_brand,1,1,own_brand,
83,73,Morrisons,Barefoot Pink Moscato Rose Wine,drinks,Barefoot,False,,751.9,ml,,Pink Moscato Rose Wine,pink moscato rose wine,6.0,7.98,branded,1,1,branded,
84,74,Morrisons,Allinson Strong White Flour,food_cupboard,Allinson,False,,3007.9,g,,Strong White Flour,strong white flour,3.79,1.26,branded,1,1,branded,
85,75,Sains,Häagen-Dazs Salted Caramel Ice Cream Bites 8x15g,free-from,,False,,120.0,g,8.0,Häagen-Dazs Salted Caramel Ice Cream Bites,haagen dazs salted caramel ice cream bites,4.0,31.3,unbranded,1,1,unbranded,
86,76,Morrisons,Al Fez Harissa Wrap Kit,food_cupboard,Al Fez,False,,,,,Harissa Wrap Kit,harissa wrap kit,3.79,0.95,branded,1,1,branded,
87,77,Morrisons,Vuse Go Edition 01 Mint Ice 20mg,drinks,,False,,,,,Vuse Go Edition 01 Mint Ice 20mg,vuse go edition 01 mint ice 20mg,5.99,5.99,unbranded,1,1,unbranded,
88,78,ASDA,ASDA Cheshire Cheese,fresh_food,,True,standard,250.0,g,,Cheshire Cheese,cheshire cheese,2.7,10.8,own_brand,1,1,own_brand,
89,79,Morrisons,Kit Kat Chunky Peanut Butter,food_cupboard,Kit Kat,False,,41.9,g,,Chunky Peanut Butter,chunky peanut butter,0.75,17.9,branded,1,1,branded,
90,80,Morrisons,Pukka All Day Breakfast Pie,fresh_food,Pukka,False,,209.5,g,,All Day Breakfast Pie,all day breakfast pie,1.99,9.5,branded,1,1,branded,
91,81,Sains,Sainsbury's Outdoor Novelty Mum & Baby Tete a Tete 9cm,fresh_food,,True,standard,,,,Outdoor Novelty Mum and Baby Tete a Tete 9cm,outdoor novelty mum and baby tete a tete 9cm,12.0,12.0,own_brand,1,1,own_brand,
92,82,Sains,Red Bull Energy Drink Sugar Free 250ml x4,drinks,Red Bull,False,,250.0,ml,4.0,Energy Drink,energy drink,4.0,4.0,branded,1,1,branded,
93,83,Sains,Rubicon Lychee Fruit Juice Drink 1L,free-from,Rubicon,False,,1000.0,ml,,Lychee Fruit Juice Drink,lychee fruit juice drink,1.35,1.4,branded,1,1,branded,
94,84,Tesco,Kind Fruit & Nut 3X30g,food_cupboard,Kind,False,,90.0,g,3.0,Fruit and Nut,fruit and nut,1.75,19.4,branded,1,1,branded,
95,85,Sains,Dr. Oetker Science Crazy Colour Changing Icing Cupcake Mix 295g,food_cupboard,Dr. Oetker,False,,295.0,g,,Science Crazy Colour Changing Icing Cupcake Mix,science crazy colour changing icing cupcake mix,2.85,9.7,branded,1,1,branded,
96,86,ASDA,Jacob's Crinkly's Cheese & Onion Flavour Baked Snacks Multipack 6x23g,food_cupboard,Jacob'S,False,,138.0,g,6.0,Crinkly's Cheese and Onion Flavour Baked Snacks Multipack,crinkly s cheese and onion flavor baked snacks multipack,1.95,14.1,branded,1,1,branded,
97,87,Morrisons,Morrisons Fishmongers Frozen Raw Peeled Argentinian Red Shrimp,fresh_food,,True,standard,150.0,g,,Fishmongers Frozen Raw Peeled Argentinian Red Shrimp,fishmongers frozen raw peeled argentinian red shrimp,4.25,28.33,own_brand,1,1,own_brand,
98,88,Tesco,Bisto Chicken Gravy Granules 300g,food_cupboard,Bisto,False,,300.0,g,,Chicken Gravy Granules,chicken gravy granules,4.0,13.3,branded,1,1,branded,
99,89,Tesco,Hardys Tintara Cabernet Sauvignon 750Ml,drinks,Hardys,False,,750.0,ml,,Tintara Cabernet Sauvignon,tintara cabernet sauvignon,10.0,13.3,branded,1,1,branded,
100,90,ASDA,ASDA Everyday 240 Tea Bags,drinks,,True,standard,695.7,g,240.0,Everyday,everyday,3.2,4.6,own_brand,1,1,own_brand,
101,91,Sains,Fudco Idli Instant Mix 500g,food_cupboard,Fudco,False,,500.0,g,,Idli Instant Mix,idli instant mix,2.7,5.4,branded,1,1,branded,
102,92,ASDA,ASDA Extra Special Coleslaw,fresh_food,,True,premium,500.0,g,,Coleslaw,coleslaw,2.4,4.8,own_brand,1,1,own_brand,
103,93,Morrisons,Idahoan Perfect Mash Cheddar Cheese (109g),food_cupboard,Idahoan,False,,109.0,g,,Perfect Mash Cheddar Cheese,perfect mash cheddar cheese,1.69,15.5,branded,1,1,branded,
104,94,Tesco,Natco Ground Coriander 1kg,food_cupboard,Natco,False,,1000.0,g,,Ground Coriander,ground coriander,3.5,4.0,branded,1,1,branded,
105,95,ASDA,The BAKERY at ASDA 10 Chocolate Chip Madeleines,bakery,,True,standard,,,,10 Chocolate Chip Madeleines,10 chocolate chip madeleines,2.0,0.2,own_brand,1,1,own_brand,
106,96,Morrisons,Morrisons 100% Orange Juice with Bits,fresh_food,,True,standard,975.0,ml,,Orange Juice with Bits,orange juice with bits,1.95,2.0,own_brand,1,1,own_brand,
107,97,Morrisons,Robinsons Fruit & Barley Peac…,drinks,Robinsons,False,,1000.0,ml,,Fruit and Barley Peac…,fruit and barley peac,2.0,2.0,branded,1,1,branded,
108,98,Sains,Buxton Still Natural Bottled Mineral Water 6x1.5L,drinks,Buxton,False,,9000.0,ml,6.0,Still Natural Bottled Mineral Water,still natural bottled mineral water,4.25,0.5,branded,1,1,branded,
109,99,ASDA,Eat Real Hummus Chips Tomato + Basil Flavour 110g,food_cupboard,Eat Real,False,,110.0,g,,Hummus Chips Tomato + Basil Flavour,hummus chips tomato basil flavor,2.0,18.2,branded,1,1,branded,
110,100,Tesco,Popworks Sweet Chipotle Chilli Sharing Bag Popped Crisps 85g,food_cupboard,Popworks,False,,85.0,g,,Sweet Chipotle Chilli Sharing Bag Popped Crisps,sweet chipotle chilli sharing bag popped crisps,2.25,26.5,branded,1,1,branded,
111,101,Sains,Rhokett Chocolate & Caramel Cheesecake Slices 180g,free-from,,False,,180.0,g,,Rhokett Chocolate and Caramel Cheesecake Slices,rhokett chocolate and caramel cheesecake slices,3.0,16.7,unbranded,1,1,unbranded,
112,102,ASDA,Ainsley Harriott Cream of Wild Mushroom Cup Soup,food_cupboard,Ainsley Harriott,False,,75.0,g,,Cream of Wild Mushroom Cup Soup,cream of wild mushroom cup soup,0.75,10.0,branded,1,1,branded,
113,103,Morrisons,Birds Eye 8 Battered Fish Fingers,frozen,Birds Eye,False,,224.0,g,,8 Battered Fish Fingers,8 battered fish fingers,2.0,8.93,branded,1,1,branded,
114,104,Tesco,Beavertown Neck Oil Session Ipa 4X330ml,drinks,Beavertown,False,,1320.0,ml,4.0,Neck Oil Session Ipa,neck oil session ipa,8.25,6.25,branded,1,1,branded,
115,105,ASDA,Merchant Gourmet Smoky Spanish-Style Grains & Rice,food_cupboard,Merchant Gourmet,False,,250.0,g,,Smoky Spanish-Style Grains and Rice,smoky spanish style grains and rice,2.0,8.0,branded,1,1,branded,
116,106,Morrisons,Morrisons Everyday Tea Bags 80 Pack,food_cupboard,,True,standard,230.4,g,80.0,Everyday Tea Bags,everyday tea bags,1.29,5.6,own_brand,1,1,own_brand,
117,107,Morrisons,Amoy Rich Coconut Milk,food_cupboard,Amoy,False,,400.0,ml,,Rich Coconut Milk,rich coconut milk,2.0,5.0,branded,1,1,branded,
118,108,Sains,Cadbury Dairy Milk Caramel Chocolate Brownie 400g,frozen,Cadbury,False,,400.0,g,,Dairy Milk Caramel Chocolate Brownie,dairy milk caramel chocolate brownie,4.0,10.0,branded,1,1,branded,
119,109,ASDA,Kopparberg Premium Cider with Strawberry & Pineapple 4 x 330ml,drinks,Kopparberg,False,,1320.0,ml,4.0,Premium Cider with Strawberry and Pineapple,premium cider with strawberry and pineapple,4.0,3.03,branded,1,1,branded,
120,110,ASDA,Indus Chana Dal,food_cupboard,,False,,1748.3,g,,Indus Chana Dal,indus chana dal,2.5,1.43,unbranded,1,1,unbranded,
121,111,ASDA,Batchelors Cup a Soup Tomato Soup 4 Instant Soup Sachets,food_cupboard,Batchelors,False,,93.1,g,,Cup a Soup Tomato Soup 4 Instant Soup Sachets,cup a soup tomato soup 4 instant soup sachets,1.49,16.0,branded,1,1,branded,
122,112,ASDA,Nando's Perinaise Garlic Peri-Peri Mayonnaise,food_cupboard,Nando'S,False,,466.7,g,,Perinaise Garlic Peri-Peri Mayonnaise,perinaise garlic peri peri mayonnaise,3.5,7.5,branded,1,1,branded,
123,113,Morrisons,Violife Original Flavour Grated V…,free-from,Violife,False,,200.0,g,,Original Flavour Grated V…,original flavor grated v,2.85,14.25,branded,1,1,branded,
124,114,Tesco,Quorn Biryani Bowl 300G,fresh_food,Quorn,False,,300.0,g,,Biryani Bowl,biryani bowl,2.75,9.17,branded,1,1,branded,
125,115,Tesco,Pukka 2 Chicken Bakes 306g,frozen,Pukka,False,,306.0,g,,2 Chicken Bakes,2 chicken bakes,2.2,7.2,branded,1,1,branded,
126,116,ASDA,Grace Coconut Milk Powder,food_cupboard,Grace,False,,50.0,g,,Coconut Milk Powder,coconut milk powder,0.7,14.0,branded,1,1,branded,
127,117,Sains,"Sainsbury's Set Honey, SO Organic 340g",food_cupboard,,True,standard,340.0,g,,"Set Honey, SO",set honey so,3.35,9.9,own_brand,1,1,own_brand,
128,118,Morrisons,Morrisons Boneless Atlantic Salmon Portions Twin Pack,frozen,,True,standard,220.0,g,,Boneless Atlantic Salmon Portions Twin Pack,boneless atlantic salmon portions twin pack,4.95,22.5,own_brand,1,1,own_brand,
129,119,Sains,Sainsbury's Vanilla Flavour Ice Cream 1L,free-from,,True,standard,1000.0,ml,,Vanilla Flavour Ice Cream,vanilla flavor ice cream,1.5,1.5,own_brand,1,1,own_brand,
130,120,ASDA,Blue Dragon Coconut Milk,free-from,Blue Dragon,False,,403.2,ml,,Coconut Milk,coconut milk,2.5,6.2,branded,1,1,branded,
131,121,Sains,Nando’s Peri-Peri Marinade Lemon and Herb Extra Mild 260g,food_cupboard,Nando'S,False,,260.0,g,,Peri-Peri Marinade Lemon and Herb Extra Mild,peri peri marinade lemon and herb extra mild,2.0,7.7,branded,1,1,branded,
132,122,Morrisons,Hartleys Jelly Blackcurrant Flavour Jelly 6PK,food_cupboard,Hartleys,False,,740.7,g,6.0,Jelly Blackcurrant Flavour Jelly,jelly blackcurrant flavor jelly,2.0,2.7,branded,1,1,branded,
133,123,Sains,Villa Maria Sparkling Cuvée Brut 75cl,drinks,Villa Maria,False,,750.0,ml,,Sparkling Cuvée Brut,sparkling cuvee brut,14.0,18.62,branded,1,1,branded,
134,124,Sains,"Sainsbury's Sicilian Lemon Gin & Tonic, Taste the Difference 250ml",drinks,,True,standard,250.0,ml,,"Sicilian Lemon Gin and Tonic, Taste the Difference",sicilian lemon gin and tonic taste the difference,1.95,7.8,own_brand,1,1,own_brand,
135,126,ASDA,El Jimador 100% Agave Tequila Blanco,drinks,,False,,700.1,ml,,El Jimador Agave Tequila Blanco,el jimador agave tequila blanco,25.0,35.71,unbranded,1,1,unbranded,
136,127,Sains,Muttil Whole Peeled Tomatoes 4x400g,food_cupboard,,False,,1600.0,g,4.0,Muttil Whole Peeled Tomatoes,muttil whole peeled tomatoes,5.6,3.5,unbranded,1,1,unbranded,
137,128,Morrisons,Morrisons Fishmonger Kipper Fillets,fresh_food,,True,standard,200.0,g,,Fishmonger Kipper Fillets,fishmonger kipper fillets,1.5,7.5,own_brand,1,1,own_brand,
138,129,Sains,"Starbucks by Nespresso Decaf Espresso Coffee x10 Pods, 10 Drinks",food_cupboard,Starbucks,False,,57.0,g,10.0,"by Nespresso Decaf Espresso Coffee Pods, 10 Drinks",by nespresso decaf espresso coffee pods 10 drinks,3.95,69.3,branded,1,1,branded,
139,130,Morrisons,Holy Cow! Delhi Tikka Masala,food_cupboard,,False,,249.0,g,,Holy Cow! Delhi Tikka Masala,holy cow delhi tikka masala,2.39,9.6,unbranded,1,1,unbranded,
140,131,Sains,Sainsbury's Oxtail Soup 400g,food_cupboard,,True,standard,400.0,g,,Oxtail Soup,oxtail soup,0.62,1.6,own_brand,1,1,own_brand,
141,132,Sains,Sainsbury's Chunky Vegetable Soup 600g,fresh_food,,True,standard,600.0,g,,Chunky Vegetable Soup,chunky vegetable soup,1.75,2.9,own_brand,1,1,own_brand,
142,133,ASDA,ASDA Diet Indian Tonic Water with Lime,drinks,,True,standard,928.6,ml,,Diet Indian Tonic Water with Lime,diet indian tonic water with lime,0.65,0.7,own_brand,1,1,own_brand,
143,134,ASDA,Grenade Chocolate Chip Salted Caramel Flavour,food_cupboard,Grenade,False,,239.9,g,,Chocolate Chip Salted Caramel Flavour,chocolate chip salted caramel flavor,9.5,39.6,branded,1,1,branded,
144,135,ASDA,ASDA Zingy & Crisp Braeburn Apples,fresh_food,,True,standard,,,,Zingy and Crisp Braeburn Apples,zingy and crisp braeburn apples,1.69,0.28,own_brand,1,1,own_brand,
145,136,Sains,PhD Smart Protein Powder Plant Chocolate Cookie 500g,free-from,Phd,False,,500.0,g,,Smart Protein Powder Plant Chocolate Cookie,smart protein powder plant chocolate cookie,20.0,38.5,branded,1,1,branded,
146,137,Morrisons,Morrisons The Best Panc…,fresh_food,,True,premium,328.1,g,,Panc…,panc,5.0,15.24,own_brand,1,1,own_brand,
147,138,Sains,Sainsbury's Health Matters Immunity Chewable Vitamin C One a Day Tablet x180 1000mg,free-from,,True,standard,1.0,g,180.0,Health Matters Immunity Chewable Vitamin C One a Day Tablet,health matters immunity chewable vitamin c one a day tablet,12.5,0.07,own_brand,1,1,own_brand,
148,139,ASDA,BrewDog Hazy Jane Guava,drinks,Brewdog,False,,440.0,ml,,Hazy Jane Guava,hazy jane guava,2.75,6.25,branded,1,1,branded,
