cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
763,1,1,Sains,food_cupboard,branded,Wrigley's,,70.0,g,,Extra Cool Breeze,,
764,1,1,Tesco,drinks,unbranded,,,1000.0,ml,,Bailey's Original Irish Cream Liqueur Bottle,,
765,1,1,Tesco,fresh_food,own_brand,,standard,500.0,g,,Chicken Mince 5% Fat,,
766,1,1,Tesco,fresh_food,own_brand,,premium,400.0,g,,Camembert Centred Quiche,,
767,1,1,ASDA,food_cupboard,own_brand,,value,100.0,g,,Dark Chocolate Sharing Bar,,
768,1,1,Morrisons,fresh_food,branded,Fridge Raiders,,69.9,g,,Hot and Spicy Chicken Bites,,
769,1,1,Sains,food_cupboard,branded,Blue Dragon,,380.0,g,,Mild Thai Sweet Chilli Sauce,,
770,1,1,Sains,fresh_food,own_brand,,standard,225.0,g,,British or Irish 21 Day Matured Ribeye Steak,,
771,1,1,Tesco,fresh_food,own_brand,,standard,,,,Pesto Chicken And Sundried Tomato Wrap,,
772,1,1,ASDA,food_cupboard,own_brand,,standard,220.0,g,6.0,Snack Size Chocolate Nutty Bars,,
773,1,1,Sains,free-from,own_brand,,premium,473.0,ml,,Iced Coffee Ice Cream,,
774,1,1,Tesco,food_cupboard,branded,Princes,,75.0,g,,Tuna and Mayonnaise Paste,,
775,1,1,ASDA,frozen,branded,Birds Eye,,227.0,g,,4 Beef Burgers with Plant Protein and Onion,,
776,1,1,Tesco,food_cupboard,own_brand,,standard,1000.0,g,,Scottish Oats Porridge,,
777,1,1,Sains,drinks,branded,Vimto,,1980.0,ml,6.0,Sparkling,,
778,1,1,ASDA,bakery,own_brand,,standard,,,5.0,Milk Chocolate Chip Cookies,,
779,1,1,Tesco,food_cupboard,own_brand,,standard,250.0,ml,,Olive Oil,,
780,1,1,Sains,fresh_food,own_brand,,standard,350.0,g,,Bakewell Tart Dessert,,
781,1,1,Sains,food_cupboard,own_brand,,standard,60.0,g,,Oregano,,
782,1,1,Morrisons,food_cupboard,unbranded,,,180.0,g,,Walnut Whip Milk Chocolate Multipack,,
783,1,1,ASDA,food_cupboard,unbranded,,,350.0,g,,Wai Wai X-Press Instant Noodles Creamy Chicken Flavour,,
784,1,1,Sains,drinks,unbranded,,,750.0,ml,,La Patrie Cahors Malbec,,
785,1,1,Sains,fresh_food,own_brand,,premium,300.0,g,,"Shawarma Chicken and Tabbouleh Salad, Summer Edition",,
786,1,1,Tesco,food_cupboard,unbranded,,,140.0,g,4.0,Pulsin High Fibre Brownie Hazelnut,,
787,1,1,Tesco,drinks,branded,Lucozade,,900.0,ml,,Energy Caribbean Crush,,
788,1,1,Tesco,drinks,branded,Smirnoff,,700.0,ml,,Ice Tropical Ready To Drink Premix Bottle,,
789,1,1,ASDA,food_cupboard,own_brand,,standard,100.0,g,,Chopped Hazelnuts,,
790,1,1,Morrisons,fresh_food,own_brand,,standard,375.0,g,,Butter Chicken and Pilau Rice,,
791,1,1,ASDA,fresh_food,own_brand,,standard,,,,Gold Tablecover,,
792,1,1,ASDA,food_cupboard,branded,Naked,,104.0,g,,Big Eat Noodle Thai Style Fiery Chicken Panang,,
793,1,1,Sains,free-from,own_brand,,dietary,300.0,g,,Broccoli,,
794,1,1,Sains,free-from,unbranded,,,90.0,g,,Proper Corn Sweet Cinnamon Popcorn,,
795,1,1,Morrisons,fresh_food,own_brand,,standard,80.0,g,,Italian Style Salad,,
796,1,1,Morrisons,drinks,branded,Sprite,,2142.9,ml,,No Sugar,,
797,1,1,Tesco,fresh_food,own_brand,,standard,160.0,g,,Sweet Chilli Roast Chicken Slices,,
798,1,1,ASDA,food_cupboard,branded,Fox's,,160.0,g,,Fabulous Indulgent Centre Cookies Triple Chocolate,,
799,1,1,Tesco,frozen,branded,Weight Watchers,,320.0,g,,Salmon and Broccoli Melt,,
800,1,1,Morrisons,food_cupboard,branded,Mars,,200.0,g,,Large Egg,,
801,1,1,Tesco,drinks,own_brand,,standard,3000.0,ml,12.0,Apple/Blackcurrant Juice,,
802,1,1,Sains,drinks,branded,Bottlegreen,,250.0,ml,,Elderflower Vodka Spritz,,
803,1,1,ASDA,drinks,branded,Guinness,,3521.1,ml,,Draught Stout Beer 8 x Can,,
804,1,1,ASDA,food_cupboard,own_brand,,standard,270.0,g,,Hedgehog Biscuit Kit,,
805,1,1,Tesco,food_cupboard,branded,Tic Tac,,49.0,g,,Fresh Mint,,
806,1,1,ASDA,food_cupboard,own_brand,,standard,720.0,g,,Classic Runny Honey,,
807,1,1,ASDA,food_cupboard,branded,Maggi,,38.0,g,,So Juicy Aromatic and Peppery Cajun Chicken Herbs and Spices Recipe Mix,,
808,1,1,Tesco,frozen,unbranded,,,250.0,ml,,Extreme Raspberry With Cream,,
809,1,1,Tesco,food_cupboard,own_brand,,standard,100.0,g,,Rock Salt Grinder,,
810,1,1,Tesco,food_cupboard,unbranded,,,126.0,g,,Dalgety Instant Ginger Tea,,
811,1,1,ASDA,drinks,unbranded,,,750.0,ml,,Cune Rioja,,
812,1,1,ASDA,drinks,unbranded,,,750.0,ml,,Le Manoir Du Baron Viognier,,
813,1,1,ASDA,fresh_food,own_brand,,premium,550.0,g,,"Pork Cutlets with Sea Salt, Black Pepper and Garlic Crust",,
814,1,1,ASDA,food_cupboard,branded,Kellogg's,,375.0,g,,Pop-Tarts Chocotastic Pastry Snack,,
815,1,1,ASDA,food_cupboard,branded,Kellogg's,,375.0,g,,Froot Loops,,
816,1,1,Tesco,food_cupboard,branded,Kellogg's,,400.0,g,,Crunchy Nut Chocolate Clusters Cereal,,
817,1,1,ASDA,fresh_food,own_brand,,standard,400.0,g,,Chicken and Mushroom Risotto,,
818,1,1,ASDA,fresh_food,branded,Gu,,140.0,g,,Milk Chocolate and Ganache Mousse Dessert,,
819,1,1,Tesco,drinks,unbranded,,,440.0,ml,,Northern Monk Wasted Pumpkin Stout,,
820,1,1,Sains,drinks,own_brand,,premium,750.0,ml,,Vernaccia Di San Gimignano,,
821,1,1,Morrisons,drinks,unbranded,,,,,,Nordic Spirit Bergamot Wild…,,
822,1,1,Sains,food_cupboard,branded,Heinz,,815.0,g,,Seriously Good Light Mayonnaise,,
823,1,1,Morrisons,food_cupboard,unbranded,,,125.0,g,,Najma Wafer Thin Turkey Slices,,
824,1,1,Tesco,fresh_food,branded,Violife,,230.0,g,,Greek White Block,,
825,1,1,Sains,fresh_food,unbranded,,,560.0,g,,Yorkshire Provender Thai Green Chicken Noodle Soup,,
826,1,1,Sains,fresh_food,own_brand,,standard,175.0,g,,Chicken Ceasar Salad,,
827,1,1,ASDA,drinks,unbranded,,,500.0,ml,,Black Sheep Ale,,
828,1,1,Sains,food_cupboard,own_brand,,standard,295.0,g,,Sweet Pickle,,
829,1,1,Morrisons,food_cupboard,branded,Walkers,,96.1,g,,Quavers Cheese Multipack Snacks Crisps,,
830,1,1,Morrisons,food_cupboard,branded,Gressingham,,115.0,g,,12 Chinese Style Pancakes,,
831,1,1,Sains,food_cupboard,own_brand,,premium,250.0,g,,Extra Thick Caramel and Biscuit Egg,,
832,1,1,ASDA,drinks,own_brand,,standard,432.0,g,,Pineapple Slices in Fruit Juice,,
833,1,1,ASDA,drinks,own_brand,,standard,500.0,ml,,Raspberry Liqueur,,
834,1,1,Tesco,drinks,branded,Taylors,,200.0,g,,Decaffe Roast Ground Coffee,,
835,1,1,Sains,food_cupboard,own_brand,,standard,200.0,g,,Prunes,,
836,1,1,Sains,food_cupboard,branded,Yorkshire Tea,,112.0,g,40.0,Biscuit Brew Tea Bags,,
837,1,1,Tesco,drinks,unbranded,,,750.0,ml,,Howard Park Margaret River Cabernet Sauvignon,,
838,1,1,Morrisons,food_cupboard,branded,Bahlsen,,125.0,g,,Choco Leibniz White,,
839,1,1,Sains,food_cupboard,unbranded,,,50.0,g,,Goralki Wafer Chocolate Filling,,
840,1,1,Morrisons,food_cupboard,branded,Filippo Berio,,340.0,g,,Basilico Pasta Sauce,,
841,1,1,Morrisons,drinks,branded,Courvoisier,,700.0,ml,,VS Cognac,,
842,1,1,Sains,food_cupboard,branded,Weetabix On The Go,,250.0,ml,,Breakfast Drink Vanilla,,
843,1,1,Sains,free-from,branded,Birds Eye,,360.0,g,,6 Chunky Fish Fingers,,
844,1,1,Sains,food_cupboard,branded,Lavazza,,500.0,g,,Espresso Barista Gran Crema Coffee Beans,,
