ensemble_cluster_id,cluster_size,min_cos,min_jac,size_ratio,n_brands,n_cats,confidence_score,likely_good
16176,2,0.9859611542310305,1.0,1.0,1,2,0.9500000000000001,False
16177,3,0.8918224677400737,1.0,1.0,1,1,1.0,True
16178,2,0.8047619037224479,0.7142857142857143,1.0,1,2,0.9500000000000001,False
16179,2,0.6990747856036147,0.5714285714285714,1.0,1,1,0.9031749081158349,True
16180,2,0.7486947584947249,0.7142857142857143,1.0,1,1,0.9780120393548821,True
16181,2,0.9555722195533101,1.0,1.0,1,1,1.0,True
16182,2,0.9328910049393205,0.8571428571428571,1.0,1,1,1.0,True
16183,2,0.7095644721873262,0.6,1.0101010101010102,1,2,0.8695752499850448,False
16184,3,0.9367822874417101,1.0,1.0,1,1,1.0,True
16185,3,0.5585666585279326,0.25,1.0,2,1,0.6040285679405426,False
16186,2,0.8063426219485912,1.0,1.0,1,2,0.9500000000000001,False
16187,2,0.8002096215786261,0.75,1.0,1,1,1.0,True
16188,2,0.685911801741905,0.8571428571428571,1.024,1,1,0.9511050578893878,True
16189,3,0.8576932506654661,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16190,4,0.8084180404157543,0.6666666666666666,1.0,2,1,0.8811111111111112,False
16191,3,0.5862842939913174,0.5714285714285714,1.0,1,2,0.804836125996279,False
16192,4,0.24376151603634644,0.4,1.05,0,1,0.6366120783012913,False
16193,2,0.8715776289854524,0.5714285714285714,1.0020833333333334,1,2,0.8964285714285715,False
16194,3,0.5596496452060592,0.5555555555555556,1.0942760942760943,1,1,0.836807519903126,True
16195,3,0.5709444149211659,0.375,1.0,1,1,0.7664166540138331,True
16196,3,0.46586697790941367,0.25,1.0714285714285714,1,1,0.6693001333897487,True
16197,2,0.9337037236906348,0.75,1.0,1,2,0.9500000000000001,False
16198,3,0.8190845015502217,0.75,1.0,1,1,1.0,True
16199,3,0.8481574784916915,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16200,3,0.7875100876309109,0.7142857142857143,1.0,1,2,0.9446471804132476,False
16201,4,0.6752946226906931,0.5714285714285714,1.0,1,2,0.8429834097245829,False
16202,4,0.5405503937016534,0.3333333333333333,1.0,2,1,0.6310295338086451,False
16203,3,0.7891369874294629,0.8333333333333334,1.0,1,1,0.9953444231840556,True
16204,2,0.960105905433673,1.0,1.0,1,2,0.9500000000000001,False
16205,2,0.9730928703328086,1.0,1.0,1,2,0.9500000000000001,False
16206,4,0.6194714270646103,0.5,1.0,1,2,0.7892972782657856,False
16207,3,0.5760298929480131,0.5714285714285714,1.0,1,2,0.8004413826920057,False
16208,3,0.8924129751638685,0.7142857142857143,1.0,1,2,0.9500000000000001,False
16209,3,0.949830082505852,1.0,1.0015384615384615,1,1,1.0,True
16210,2,0.5371398334733912,0.4,1.0,0,1,0.7623456429171678,True
16211,2,0.7743508521220129,1.0,1.0,1,1,0.9890075080522913,True
16212,2,0.840445682051694,0.875,1.0,1,2,0.9500000000000001,False
16213,3,0.7324054372609868,0.42857142857142855,1.0,2,1,0.752935663588042,False
16214,2,0.9648429406462425,1.0,1.0,1,2,0.9500000000000001,False
16215,3,0.829966876298372,0.75,1.0,1,1,1.0,True
16216,2,0.8072265440255904,1.0,1.0,1,1,1.0,True
16217,2,0.9451748749957462,1.0,1.0,1,1,1.0,True
16218,2,0.9465513829742528,1.0,1.0,1,1,1.0,True
16219,2,0.9736529503957936,1.0,1.0,1,1,1.0,True
16220,2,0.817843187987485,1.0,1.0,0,1,1.0,True
16221,2,0.8174877162813979,0.8333333333333334,1.0,1,1,1.0,True
16222,4,0.7739971065156083,0.6666666666666666,1.0,0,1,0.9749670139035147,True
16223,4,0.8453716022615108,0.8,1.0,1,1,1.0,True
16224,2,0.8094987551097561,0.75,1.0,1,1,1.0,True
16225,4,0.4993357806202669,0.375,1.0,2,1,0.6307272393134478,False
16226,2,0.8451749337913673,1.0,1.0101111111111112,1,2,0.9500000000000001,False
16227,2,0.8644033290791582,0.7777777777777778,1.0,1,2,0.9500000000000001,False
16228,3,0.7917604483067954,0.3333333333333333,1.0,1,1,0.8436909857822774,True
16229,2,0.9165652298655256,1.0,1.0,1,1,1.0,True
16230,2,0.5113495298523765,0.6,1.0,0,1,0.8346259889843519,True
16231,3,0.6020761440384907,0.3333333333333333,1.0222222222222221,1,1,0.7623977125244326,True
16232,2,1.0,1.0,1.0,0,1,1.0,True
16233,2,0.8992743164297559,0.8333333333333334,1.0,0,1,1.0,True
16234,2,0.6263103965226908,0.5714285714285714,1.0,0,1,0.8719901699382961,True
16235,2,0.9999999999999993,1.0,1.0,1,2,0.9500000000000001,False
16236,3,0.4499255861800447,0.36363636363636365,1.0,1,1,0.7098165932113611,True
16237,2,0.9196379601817078,1.0,1.0101010101010102,1,2,0.9500000000000001,False
16238,3,0.917984007144139,0.8333333333333334,1.0,1,1,1.0,True
16239,2,0.7230594955321475,0.375,1.0,1,1,0.8316088314185395,True
16240,2,0.9999999999999998,1.0,1.0,0,1,1.0,True
16241,2,0.5019732484179736,0.4,1.0396039603960396,1,1,0.7472742493219887,True
16242,2,0.7592701585379126,0.625,1.0,1,2,0.9012943536591055,False
16243,2,1.0000000000000002,1.0,1.0,1,1,1.0,True
16244,2,0.8677186200587698,0.6,1.0,1,1,0.9583333333333333,True
16245,2,0.9999999999999991,1.0,1.0,1,2,0.9500000000000001,False
16246,4,0.9235785719138067,0.8571428571428571,1.0,1,1,1.0,True
16247,3,0.8006361815612416,1.0,1.0,0,1,1.0,True
16248,2,0.7763822234409563,0.5,1.0,2,1,0.8015447624270766,False
16249,2,0.5968727589937636,0.6666666666666666,1.0309278350515463,1,1,0.8990565792512955,True
16250,3,0.9700528063419519,1.0,1.0,1,1,1.0,True
16251,2,0.6353144311350544,0.5714285714285714,1.0,1,1,0.8758490419150233,True
16252,2,0.7258925582400453,0.5714285714285714,1.0,1,1,0.9146682392457337,True
16253,2,0.9286738651212583,1.0,1.0,2,1,0.895,False
16254,4,0.7342885868373104,0.6,1.0,2,1,0.825171299120752,False
16255,2,0.7690349880840167,0.5,1.0,0,1,0.9033959472741024,True
16256,2,0.9999999999999998,1.0,1.0,1,2,0.9500000000000001,False
16257,4,0.6838094907164594,0.375,1.0144927536231885,1,1,0.8147874007832445,True
16258,3,0.9296921592274145,0.8333333333333334,1.0,1,3,0.9500000000000001,False
16259,2,0.8444453471243107,0.7142857142857143,1.0,1,1,1.0,True
16260,4,0.721510402740358,0.5,1.0,1,1,0.8830282678411059,True
16261,2,0.8462260649509934,0.75,1.05,1,1,1.0,True
16262,3,0.7832551259454706,0.6,1.0,1,2,0.9011569587385352,False
16263,2,1.0000000000000004,1.0,1.0,0,1,1.0,True
16264,3,0.8694937146259283,0.8,1.0,1,1,1.0,True
16265,2,0.9999999999999992,1.0,1.0,1,1,1.0,True
16266,4,0.7882627305946592,0.7142857142857143,1.0034782608695654,1,1,0.9949697416834253,True
16267,4,0.7832717962448371,0.5555555555555556,1.0,1,1,0.9326455846340307,True
16268,2,0.35265869164748503,0.25,1.105263157894737,0,1,0.5407822964203507,False
16269,2,0.9782808233458995,0.875,1.0,1,1,1.0,True
16270,2,0.8846104516862735,1.0,1.0101010101010102,1,1,1.0,True
16271,2,0.8922125150640465,0.625,1.0,1,1,0.96875,True
16272,2,1.0000000000000002,1.0,1.0,0,1,1.0,True
16273,2,0.5401810032146789,0.4444444444444444,1.037037037037037,1,2,0.7321675198962382,False
16274,2,0.6766001142937708,0.625,1.0,1,1,0.9158643346973303,True
16275,2,0.8205060759692862,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16276,3,0.7004231945889061,0.75,1.0,1,2,0.9073242262523883,False
16277,2,0.8758907695377753,1.0,1.0,1,2,0.9500000000000001,False
16278,3,0.4945973240932956,0.3333333333333333,1.0416666666666667,1,1,0.7163353611193489,True
16279,2,0.8570508641098392,0.75,1.0,1,2,0.9500000000000001,False
16280,3,0.6174737913374772,0.42857142857142855,1.0465116279069768,1,1,0.8086792439065378,True
16281,2,0.7235534514796544,0.75,1.0,1,1,0.9672371934912805,True
16282,3,0.6578331697813735,0.5714285714285714,1.0,1,1,0.8854999299063029,True
16283,2,0.8511468773989482,0.8333333333333334,1.0,1,2,0.9500000000000001,False
16284,3,0.5046039268768873,0.375,1.0,1,1,0.7379850162805708,True
16285,3,0.6486610549132875,0.625,1.125,1,1,0.8238904521056947,True
16286,2,0.8987112777514732,0.75,1.0,0,1,1.0,True
16287,3,0.4979990446041636,0.25,1.0526315789473684,0,1,0.68307101911607,True
16288,2,0.9123423583822845,0.75,1.0,1,1,1.0,True
16289,2,0.8476700762416983,0.75,1.0,1,2,0.9500000000000001,False
16290,2,0.560130703801956,0.2222222222222222,1.0,1,1,0.6981247989839071,False
16291,3,0.8783872454927921,0.6666666666666666,1.0,1,2,0.9361111111111112,False
16292,2,0.8183917710047743,0.6666666666666666,1.0,1,2,0.9361111111111112,False
16293,3,0.7970490390434667,0.6,1.0023255813953489,1,1,0.9570686357805334,True
16294,2,0.7662736390905264,0.5,1.0,1,2,0.8522125119911781,False
16295,2,0.9722998497573586,1.0,1.0,1,2,0.9500000000000001,False
16296,2,0.9999999999999999,1.0,1.0,1,2,0.9500000000000001,False
16297,2,0.8586095508944639,1.0,1.0,1,2,0.9500000000000001,False
16298,3,0.795003847423775,0.5,1.0,1,3,0.8645254584197132,False
16299,3,0.4432127470157208,0.5,1.0,1,1,0.7637578439591184,True
16300,3,0.33806457351120534,0.375,1.0,0,1,0.6666110076952785,False
16301,2,0.47416443138970404,0.5,1.125,0,1,0.6970228515479684,True
16302,4,0.29833145249373316,0.2857142857142857,1.0417,0,1,0.612380146306838,False
16303,2,0.7837085115924858,0.8,1.0061363636363636,1,1,0.9930179335396367,True
16304,3,0.29056089655256334,0.3,1.0,0,1,0.6150022889987176,False
16305,3,0.5214606019987933,0.5,1.0,0,1,0.7972926389518638,True
16306,3,0.29228026485896386,0.2727272727272727,1.0,0,1,0.6043755247663958,False
16307,4,0.747784411557527,1.0,1.010074074074074,1,2,0.9276218906675117,False
16308,3,0.6419340125356537,0.6666666666666666,1.0,0,1,0.9183685450549628,True
16309,2,0.9363297947225343,0.8333333333333334,1.0,1,1,1.0,True
16310,3,0.2455438996790824,0.3333333333333333,1.125,0,1,0.5295981792275433,False
16311,2,0.7581012045705177,0.8,1.0782399999999999,1,2,0.9320433733873649,False
16312,2,0.5216207661809675,0.5,1.0,0,1,0.7973612807442243,True
16313,2,0.8008553499107602,0.6,1.0,0,1,0.9583333333333333,True
16314,2,0.9874228862991252,1.0,1.0,1,2,0.9500000000000001,False
16315,2,0.9066210924390954,1.0,1.0,1,1,1.0,True
16316,3,0.6258785762545043,0.5,1.0258712121212121,1,2,0.7920431993471686,False
16317,3,0.45247372202832126,0.4,1.0,0,1,0.7260601665835662,True
16318,2,0.7300622471019227,1.0,1.0101010101010102,1,1,0.9700266773293955,True
16319,2,0.8365849955130543,0.6,1.0,1,1,0.9583333333333333,True
16320,2,0.9445385628378419,1.0,1.0,1,2,0.9500000000000001,False
16321,4,0.30203144034171614,0.2857142857142857,1.0,0,1,0.613965855384545,False
16322,3,0.17199589848959193,0.25,1.0,0,1,0.543355385066968,False
16323,4,0.6764957764043136,0.3333333333333333,1.0,1,1,0.7942918406812138,True
16324,3,0.4420081321599082,0.4,1.1234574302602924,0,1,0.6415749137828178,True
16325,3,0.9142503237899781,0.8888888888888888,1.0,1,1,1.0,True
16326,2,0.8187682386524897,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16327,2,0.9999999999999999,1.0,1.0,0,1,1.0,True
16328,2,1.0000000000000007,1.0,1.0,1,1,1.0,True
16329,3,0.6177704975708859,0.5,1.0,0,1,0.8385683084827606,True
16330,4,0.7651877425427445,0.375,1.0,1,2,0.799663794423081,False
16331,3,0.8526869644542313,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16332,3,0.5756257653403029,0.42857142857142855,1.0,0,1,0.7907443756220345,True
16333,2,0.6425210596064829,0.5,1.0101010101010102,1,1,0.8491756922123022,True
16334,3,0.3579715492965339,0.4,1.1363636363636365,0,1,0.6055592354128002,False
16335,3,0.8304015693165893,0.75,1.0,1,1,1.0,True
16336,3,0.8626521314827733,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16337,4,0.6590361818753028,0.42857142857142855,1.0,2,1,0.7214916969941774,False
16338,3,0.5771721634480508,0.5,1.0,0,1,0.8211690224301171,True
16339,2,0.8852352129774737,0.8571428571428571,1.0,0,1,1.0,True
16340,3,0.5512048693043876,0.5714285714285714,1.0080645161290323,1,2,0.7898020868447376,False
16341,2,0.910783855504892,1.0,1.0,1,1,1.0,True
16342,3,0.7135634289022992,0.6666666666666666,1.0,1,1,0.9490668663549536,True
16343,2,0.6569416638537574,0.6,1.0005757575757577,1,2,0.8470226178420867,False
16344,3,0.9290904384516677,1.0,1.0,1,2,0.9500000000000001,False
16345,2,1.0000000000000007,1.0,1.0,1,1,1.0,True
16346,2,0.9778032393548902,1.0,1.0,1,1,1.0,True
16347,2,0.6523188229406658,0.5714285714285714,1.0000909090909091,1,1,0.8831366384031425,True
16348,2,0.844809898591035,0.5714285714285714,1.0,0,1,0.9464285714285714,True
16349,2,0.8786472959056525,1.0,1.0101010101010102,0,1,1.0,True
16350,3,0.46299656596316413,0.42857142857142855,1.1111111111111112,1,1,0.662474718746118,True
16351,3,0.5773837233346545,0.8333333333333334,1.0061363636363636,2,1,0.7995930242862805,False
16352,3,0.8438360897086851,0.875,1.0,1,1,1.0,True
16353,2,0.5982389158883563,0.625,1.0,1,1,0.8822809639521527,True
16354,2,0.9335175057938013,0.6666666666666666,1.0,0,1,0.9861111111111112,True
16355,4,0.6650055334946858,0.4,1.0,1,1,0.8171452286405797,True
16356,2,0.7191510218692747,1.0,1.069767441860465,1,1,0.9653504379439748,True
16357,3,0.9629497405186533,1.0,1.0,1,1,1.0,True
16358,2,0.879079876613883,0.8333333333333334,1.0,1,1,1.0,True
16359,3,0.7259820560775018,0.625,1.0,1,1,0.9370280240332152,True
16360,4,0.7486681914928237,0.3333333333333333,1.0,1,2,0.7752228757191467,False
16361,3,0.75055954809299,0.75,1.0146212121212121,1,2,0.9288112348969958,False
16362,3,0.814822584621911,0.75,1.0151515151515151,0,1,1.0,True
16363,3,0.6106222145502622,0.8333333333333334,1.0061363636363636,2,2,0.7638380919501125,False
16364,2,1.0000000000000002,1.0,1.0,1,1,1.0,True
16365,2,0.9513886535288313,0.7142857142857143,1.0,1,1,1.0,True
16366,3,0.8256559810551634,1.0,1.0330555555555556,1,1,1.0,True
16367,2,0.9676350937690869,1.0,1.0,1,2,0.9500000000000001,False
16368,3,0.6772070167253932,0.5714285714285714,1.0,1,2,0.8438030071680257,False
16369,3,0.9860498364986245,1.0,1.0,1,1,1.0,True
16370,2,0.7086407900409498,0.6666666666666666,1.0,1,1,0.9469571639858039,True
16371,2,0.9279104139143192,1.0,1.0,0,1,1.0,True
16372,2,1.0000000000000002,1.0,1.0,1,1,1.0,True
16373,3,0.9593082635417255,1.0,1.0,0,1,1.0,True
16374,3,0.8333357960190284,0.8,1.0,1,1,1.0,True
16375,3,0.6078455101593855,0.16666666666666666,1.0057142857142858,1,1,0.6954258535603716,False
16376,3,0.6745025502615597,0.6666666666666666,1.0003181818181817,1,1,0.9323264897946366,True
16377,3,0.08868762451562226,0.14285714285714285,1.0555333333333332,0,1,0.46785714285714286,False
16378,2,0.7318602749943893,0.4,1.0,1,1,0.8457972607118811,True
16379,2,0.9364484232327162,0.8571428571428571,1.0,1,1,1.0,True
16380,3,0.6812838712882784,0.625,1.0,1,1,0.9178716591235478,True
16381,2,0.7599431161073871,0.8,1.0,0,1,0.982832764046023,True
16382,4,0.6781667990424003,0.7142857142857143,1.0,2,1,0.8427857710181716,False
16383,3,0.5383104329069524,0.4444444444444444,1.0,1,2,0.7313658469072125,False
16384,2,0.8683618157325448,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16385,2,0.6818309797924919,0.5,1.0,1,2,0.816022800863449,False
16386,4,0.6269422662164523,0.375,1.0,1,2,0.7404157331403843,False
16387,2,0.8108907704376715,0.7142857142857143,1.0,1,2,0.9500000000000001,False
16388,3,0.6300678312414697,0.5,1.0101010101010102,0,1,0.8438385943415823,True
16389,3,0.8679024875528621,0.75,1.0,0,1,1.0,True
16390,3,0.7463347124313771,0.5,1.0,1,2,0.8436672577086856,False
16391,2,0.6729516594363026,0.8,1.0,1,1,0.9455507111869869,True
16392,2,0.9666373458779012,1.0,1.0,1,1,1.0,True
16393,3,0.8433788068071725,0.8,1.0,1,1,1.0,True
16394,2,0.7581064656281125,0.5555555555555556,1.0,1,1,0.9218604429411488,True
16395,2,0.780998124392373,0.8,1.0003181818181817,0,1,0.9918563390253028,True
16396,2,0.9999999999999999,1.0,1.0,1,1,1.0,True
16397,2,0.6867073853493446,0.5,1.0,1,1,0.868112688959243,True
16398,2,0.8411113870152422,1.0,1.0,1,2,0.9500000000000001,False
16399,2,0.8254427246814542,0.5714285714285714,1.0101010101010102,1,1,0.9464285714285714,True
16400,3,0.31182306356873657,0.25,1.1428571428571428,0,1,0.5232813129580299,False
16401,2,1.0,1.0,1.0,1,1,1.0,True
16402,2,0.7769675505213008,0.6666666666666666,1.0,1,1,0.9762400613345257,True
16403,2,0.8603884879574574,0.8333333333333334,1.0,1,1,1.0,True
16404,2,0.8019672407021973,0.6,1.0,1,1,0.9583333333333333,True
16405,3,0.6018825236217393,0.2857142857142857,1.0,0,1,0.7424734625045549,True
16406,3,0.5246112383506278,0.5714285714285714,1.0,1,1,0.8284048164359834,True
16407,2,0.9091236870025668,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16408,4,0.45444361728582383,0.4,1.0,1,1,0.7269044074082102,True
16409,2,0.8158951917033471,0.8,1.0,1,1,1.0,True
16410,2,0.7955561176158407,1.0,1.0,2,1,0.8930954789782175,False
16411,2,0.9483237732923856,1.0,1.0,1,1,1.0,True
16412,2,0.9611145734856125,1.0,1.0,1,2,0.9500000000000001,False
16413,4,0.5115954348955203,0.4166666666666667,1.0,1,1,0.758342487971096,True
16414,4,0.5622872423767715,0.4,1.0142857142857142,2,1,0.6681231038757593,False
16415,4,0.6910067730588805,0.5714285714285714,1.0,1,1,0.899717188453806,True
16416,2,0.7288555636114984,0.6,1.0,0,1,0.9278428605954041,True
16417,2,0.9208780344464802,0.8571428571428571,1.0,1,1,1.0,True
16418,3,0.7763846057848178,0.5,1.0010606060606062,1,1,0.9065457834315886,True
16419,2,1.0000000000000007,1.0,1.0,1,1,1.0,True
16420,4,0.5564789508852522,0.42857142857142855,1.0,1,2,0.7325385979984415,False
16421,4,0.49724678195063404,0.4,1.0,1,1,0.745248620835986,True
16422,2,0.9179592175773811,0.8333333333333334,1.0,1,1,1.0,True
16423,3,0.8780149522150417,0.875,1.0,1,2,0.9500000000000001,False
16424,2,0.9596387970959681,0.75,1.0,0,1,1.0,True
16425,2,0.6017371667740555,0.5,1.0151515151515151,1,2,0.781696880998405,False
16426,4,0.7686469254549883,0.6666666666666666,1.0,1,1,0.9726740791632489,True
16427,3,0.8315416534204615,0.8,1.0,0,1,1.0,True
16428,3,0.5041423248431759,0.4,1.0,1,1,0.7482038535042183,True
16429,2,0.6440565681309437,0.6666666666666666,1.072,1,2,0.8692782117386585,False
16430,2,0.8340382710005227,1.0,1.019810606060606,1,1,1.0,True
16431,2,0.8495639839943796,0.8333333333333334,1.0,1,1,1.0,True
16432,2,0.9721534482162048,1.0,1.0,1,1,1.0,True
16433,3,0.8545225181424864,0.8,1.0,1,1,1.0,True
16434,4,0.7251250473669466,0.375,1.0,1,2,0.7824940679191678,False
16435,2,0.9204757192319069,0.8571428571428571,1.0,1,1,1.0,True
16436,2,1.0,1.0,1.0,1,1,1.0,True
16437,2,0.9999999999999998,1.0,1.0,1,1,1.0,True
16438,3,0.4772801945909029,0.3333333333333333,1.0,0,1,0.708913734189752,True
16439,3,0.9141614449725677,0.8571428571428571,1.0,0,1,1.0,True
16440,3,0.8937900941458193,0.8,1.0,1,1,1.0,True
16441,3,0.8481502289559192,0.8571428571428571,1.0,1,1,1.0,True
16442,4,0.6782378250388977,0.5714285714285714,1.0,1,2,0.8442447821595277,False
16443,3,0.9403428658412794,1.0,1.0,1,2,0.9500000000000001,False
16444,3,0.7689670986460349,0.625,1.0,1,2,0.905450185134015,False
16445,4,0.8571495839990307,0.6666666666666666,1.0,1,1,0.9861111111111112,True
16446,3,0.8398190938128235,0.5714285714285714,1.0,1,2,0.8964285714285715,False
16447,2,0.8072269788908455,0.7142857142857143,1.0,1,1,1.0,True
16448,2,0.8279556935088471,1.0,1.1,0,1,1.0,True
16449,3,0.43269040164389116,0.5,1.0,0,1,0.7592482673711916,True
16450,3,0.7124464662448139,0.3333333333333333,1.0,1,1,0.8096992791842853,True
16451,2,0.8646148326590739,1.0,1.0,0,1,1.0,True
16452,4,0.8712199881304051,1.0,1.0,1,2,0.9500000000000001,False
16453,3,0.5350055789881406,0.2857142857142857,1.0019375,1,2,0.6638119148044412,False
16454,2,0.7543628586624158,0.7142857142857143,1.0,1,2,0.9304412251410353,False
16455,3,0.9329022367280522,1.0,1.0,1,2,0.9500000000000001,False
16456,2,0.8896296112091755,0.8,1.0,1,2,0.9500000000000001,False
16457,2,1.0000000000000004,1.0,1.0,1,2,0.9500000000000001,False
16458,4,0.6784399319917112,0.42857142857142855,1.0,1,2,0.7848075899012096,False
16459,3,0.8499852097251797,1.0,1.0,1,2,0.9500000000000001,False
16460,4,0.6376772165461653,0.625,1.1111111111111112,1,2,0.7691830928054996,False
16461,2,0.6968612940495639,0.375,1.0,1,2,0.7703810307831466,False
16462,4,0.6634157502517001,0.7142857142857143,1.1111111111111112,1,2,0.8114638929650144,False
16463,3,0.7985378719159077,0.5555555555555556,1.0,1,2,0.8891881884930611,False
16464,4,0.9621935604575641,1.0,1.0,1,2,0.9500000000000001,False
16465,4,0.9605855972833981,1.0,1.0,1,3,0.9500000000000001,False
16466,3,0.5356123846705076,0.5,1.0303030303030303,1,2,0.753357688668313,False
16467,4,0.9155465418727768,0.7142857142857143,1.0,1,2,0.9500000000000001,False
16468,4,0.6870585965397833,0.42857142857142855,1.0,1,2,0.7885013032789548,False
16469,3,0.7971228102438949,0.6666666666666666,1.0,1,2,0.9348780297870661,False
16470,3,0.6313093405088716,0.6,1.0476190476190477,1,2,0.8360373364085641,False
16471,4,0.615635860681035,0.375,1.0714285714285714,1,2,0.7355701307680628,False
16472,4,0.6429037291262328,0.3,1.0,1,2,0.7160063601017189,False
16473,3,0.6661463111736908,0.7142857142857143,1.0,1,2,0.8926341333601533,False
16474,2,0.9739186504588159,1.0,1.0,1,2,0.9500000000000001,False
16475,4,0.7836787385897949,0.8571428571428571,1.0,1,2,0.9430051736813406,False
